,0
639,-38
640,-31
641,-35
642,-43
643,-37
644,-35
645,-34
646,-31
647,-37
648,-35
649,-31
650,-38
651,-31
652,-31
653,-36
654,-44
655,-28
656,-36
657,-27
658,-31
659,-37
660,-35
661,-35
662,-31
663,-33
664,-36
665,-33
666,-34
667,-31
668,-119
669,-29
670,-33
671,-35
672,-35
673,-45
674,-33
675,-32
676,-115
677,-48
678,-29
679,-29
680,-40
681,-31
682,-27
683,-29
684,-31
685,-30
686,-33
687,-28
688,-38
689,-35
690,-29
691,-36
692,-36
693,-40
694,-31
695,-28
696,-36
697,-30
698,-33
699,-29
700,-36
701,-110
702,-29
703,-32
704,-33
705,-28
706,-31
707,-39
708,-31
709,-32
710,-37
711,-34
712,-34
713,-28
714,-36
715,-52
716,-31
717,-29
718,-27
719,-27
720,-32
721,-32
722,-31
723,-29
724,-29
725,-37
726,-29
727,-32
728,-27
729,-28
730,-30
731,-33
732,-27
733,-33
734,-38
735,-33
736,-29
737,-38
738,-42
739,-35
740,-35
741,-41
742,-29
743,-29
744,-31
745,-35
746,-30
747,-29
748,-29
749,-35
750,-36
751,-28
752,-31
753,-29
754,-31
755,-29
756,-29
757,-27
758,-29
759,-37
760,-28
761,-35
762,-32
763,-37
764,-33
765,-27
766,-35
767,-27
768,-31
769,-29
770,-29
771,-30
772,-27
773,-45
774,-33
775,-30
776,-38
777,-39
778,-40
779,-28
780,-37
781,-33
782,-28
783,-27
784,-33
785,-33
786,-36
787,-30
788,-31
789,-36
790,-28
791,-33
792,-36
793,-28
794,-27
795,-27
796,-28
797,-27
798,-32
799,-29
800,-111
801,-31
802,-27
803,-37
804,-37
805,-35
806,-32
807,-27
808,-27
809,-33
810,-35
811,-31
812,-29
813,-29
814,-30
815,-29
816,-27
817,-33
818,-32
819,-27
820,-31
821,-27
822,-27
823,-35
824,-31
825,-29
826,-35
827,-27
828,-31
829,-32
830,-27
831,-37
832,-28
833,-29
834,-28
835,-32
836,-33
837,-40
838,-32
839,-27
840,-32
841,-30
842,-27
843,-27
844,-29
845,-30
846,-29
847,-30
848,-32
849,-30
850,-27
851,-123
852,-34
853,-30
854,-33
855,-43
856,-32
857,-31
858,-31
859,-36
860,-28
861,-36
862,-31
863,-29
864,-32
865,-35
866,-27
867,-30
868,-35
869,-33
870,-28
871,-46
872,-29
873,-30
874,-36
875,-32
876,-34
877,-27
878,-29
879,-33
880,-27
881,-27
882,-30
883,-29
884,-36
885,-29
886,-29
887,-29
888,-27
889,-32
890,-30
891,-29
892,-31
893,-27
894,-33
895,-28
896,-34
897,-27
898,-35
899,-32
900,-33
901,-32
902,-29
903,-28
904,-30
905,-31
906,-27
907,-28
908,-31
909,-29
910,-36
911,-31
912,-29
913,-31
914,-28
915,-34
916,-32
917,-37
918,-36
919,-29
920,-34
921,-31
922,-32
923,-31
924,-30
925,-32
926,-28
927,-28
928,-30
929,-38
930,-29
931,-31
932,-27
933,-27
934,-39
935,-33
936,-32
937,-35
938,-27
939,-32
940,-33
941,-29
942,-33
943,-34
944,-35
945,-33
946,-38
947,-29
948,-30
949,-31
950,-27
951,-30
952,-27
953,-29
954,-39
955,-33
956,-33
957,-33
958,-31
959,-28
960,-30
961,-29
962,-31
963,-29
964,-32
965,-38
966,-28
967,-35
968,-31
969,-29
970,-29
971,-27
972,-33
973,-28
974,-31
975,-40
976,-27
977,-36
978,-33
979,-28
980,-33
981,-31
982,-33
983,-27
984,-29
985,-32
986,-34
987,-35
988,-27
989,-31
990,-27
991,-27
992,-27
993,-32
994,-27
995,-38
996,-33
997,-32
998,-33
999,-37
1000,-32
1001,-32
1002,-31
1003,-27
1004,-32
1005,-32
1006,-30
1007,-29
1008,-28
1009,-29
1010,-27
1011,-32
1012,-31
1013,-29
1014,-35
1015,-27
1016,-30
1017,-34
1018,-33
1019,-33
1020,-31
1021,-28
1022,-29
1023,-27
1024,-28
1025,-31
