"('greedy_selection', 'moment_updating')","('q_value_sampling', 'moment_updating')"
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
199.33333333333334,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
188.33333333333334,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
186.66666666666666,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
200.66666666666666,201.0
201.0,201.0
180.33333333333334,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
188.33333333333334,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
181.33333333333334,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
172.66666666666666,201.0
201.0,201.0
181.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
198.33333333333334,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
200.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
181.66666666666666,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
171.33333333333334,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
194.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
197.33333333333334,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
178.33333333333334,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
200.33333333333334,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
191.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
192.33333333333334,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
195.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
193.66666666666666,201.0
201.0,201.0
195.0,201.0
178.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
172.0,201.0
201.0,201.0
201.0,201.0
186.66666666666666,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
176.33333333333334,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
191.0,201.0
201.0,201.0
201.0,201.0
180.66666666666666,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
165.33333333333334,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
196.33333333333334,201.0
201.0,201.0
201.0,201.0
201.0,201.0
195.66666666666666,201.0
193.33333333333334,201.0
170.66666666666666,201.0
201.0,201.0
201.0,201.0
201.0,201.0
172.33333333333334,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
193.66666666666666,201.0
201.0,201.0
172.66666666666666,201.0
169.33333333333334,201.0
201.0,201.0
201.0,201.0
195.33333333333334,201.0
201.0,201.0
201.0,201.0
197.0,201.0
182.66666666666666,201.0
195.66666666666666,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
190.66666666666666,201.0
201.0,201.0
186.66666666666666,201.0
201.0,201.0
185.66666666666666,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
166.33333333333334,201.0
201.0,201.0
201.0,201.0
