,mean,Standard deviation
"('greedy_selection', 'moment_updating', 0.01, 1.1, 3, 1)",-14.6,47.40717245312148
"('greedy_selection', 'moment_updating', 0.01, 1.01, 0.01, 1)",-14.6,47.40717245312148
"('greedy_selection', 'moment_updating', 0.01, 1.01, 0.05, 1)",-14.6,47.40717245312148
"('greedy_selection', 'moment_updating', 0.01, 1.01, 0.1, 1)",-14.6,47.40717245312148
"('greedy_selection', 'moment_updating', 0.01, 1.01, 0.25, 1)",-14.6,47.40717245312148
"('greedy_selection', 'moment_updating', 0.01, 1.01, 0.5, 1)",-14.6,47.40717245312148
"('greedy_selection', 'moment_updating', 0.01, 1.01, 0.75, 1)",-14.6,47.40717245312148
"('greedy_selection', 'moment_updating', 0.01, 1.01, 1, 1)",-14.6,47.40717245312148
"('greedy_selection', 'moment_updating', 0.01, 1.01, 1.5, 1)",-14.6,47.40717245312148
"('greedy_selection', 'moment_updating', 0.01, 1.01, 2, 1)",-14.6,47.40717245312148
"('greedy_selection', 'moment_updating', 0.01, 1.01, 3, 1)",-14.6,47.40717245312148
"('greedy_selection', 'moment_updating', 0.01, 1.001, 0.01, 1)",-14.6,47.40717245312148
"('greedy_selection', 'moment_updating', 0.01, 1.001, 0.05, 1)",-14.6,47.40717245312148
"('greedy_selection', 'moment_updating', 0.01, 1.001, 0.1, 1)",-14.6,47.40717245312148
"('greedy_selection', 'moment_updating', 0.01, 1.001, 0.25, 1)",-14.6,47.40717245312148
"('greedy_selection', 'moment_updating', 0.01, 1.001, 0.5, 1)",-14.6,47.40717245312148
"('greedy_selection', 'moment_updating', 0.01, 1.001, 0.75, 1)",-14.6,47.40717245312148
"('greedy_selection', 'moment_updating', 0.01, 1.001, 1, 1)",-14.6,47.40717245312148
"('greedy_selection', 'moment_updating', 0.01, 1.001, 1.5, 1)",-14.6,47.40717245312148
"('greedy_selection', 'moment_updating', 0.01, 1.001, 2, 1)",-14.6,47.40717245312148
"('greedy_selection', 'moment_updating', 0.01, 1.001, 3, 1)",-14.6,47.40717245312148
"('greedy_selection', 'moment_updating', 0.01, 1.0001, 0.01, 1)",-14.6,47.40717245312148
"('greedy_selection', 'moment_updating', 0.01, 1.0001, 0.05, 1)",-14.6,47.40717245312148
"('greedy_selection', 'moment_updating', 0.01, 1.0001, 0.1, 1)",-14.6,47.40717245312148
"('greedy_selection', 'moment_updating', 0.01, 1.0001, 0.25, 1)",-14.6,47.40717245312148
"('greedy_selection', 'moment_updating', 0.01, 1.0001, 0.5, 1)",-14.6,47.40717245312148
"('greedy_selection', 'moment_updating', 0.01, 1.0001, 0.75, 1)",-14.6,47.40717245312148
"('greedy_selection', 'moment_updating', 0.01, 1.0001, 1, 1)",-14.6,47.40717245312148
"('greedy_selection', 'moment_updating', 0.01, 1.0001, 1.5, 1)",-14.6,47.40717245312148
"('greedy_selection', 'moment_updating', 0.01, 1.0001, 2, 1)",-14.6,47.40717245312148
"('greedy_selection', 'moment_updating', 0.01, 1.0001, 3, 1)",-14.6,47.40717245312148
"('greedy_selection', 'moment_updating', 0.01, 1.25, 0.01, 1)",-14.6,47.40717245312148
"('greedy_selection', 'moment_updating', 0.01, 1.25, 0.05, 1)",-14.6,47.40717245312148
"('greedy_selection', 'moment_updating', 0.01, 1.25, 0.1, 1)",-14.6,47.40717245312148
"('greedy_selection', 'moment_updating', 0.01, 1.25, 0.25, 1)",-14.6,47.40717245312148
"('greedy_selection', 'moment_updating', 0.01, 1.25, 0.5, 1)",-14.6,47.40717245312148
"('greedy_selection', 'moment_updating', 0.01, 1.25, 0.75, 1)",-14.6,47.40717245312148
"('greedy_selection', 'moment_updating', 0.01, 1.25, 1, 1)",-14.6,47.40717245312148
"('greedy_selection', 'moment_updating', 0.01, 1.25, 1.5, 1)",-14.6,47.40717245312148
"('greedy_selection', 'moment_updating', 0.01, 1.25, 2, 1)",-14.6,47.40717245312148
"('greedy_selection', 'moment_updating', 0.01, 1.25, 3, 1)",-14.6,47.40717245312148
"('greedy_selection', 'moment_updating', 0.01, 1.5, 0.01, 1)",-14.6,47.40717245312148
"('greedy_selection', 'moment_updating', 0.01, 1.5, 0.05, 1)",-14.6,47.40717245312148
