,0,1,2,3
0,5,1,0.05,0.042970618130290406
1,5,2,0.05,0.029090210650324504
2,5,5,0.05,0.0193482651753879
3,5,10,0.05,0.015090744207141429
4,5,20,0.05,0.021930611034383624
5,5,30,0.05,0.020713740705003588
6,5,40,0.05,0.015522749778806699
7,5,50,0.05,0.031660278130663334
8,5,75,0.05,0.015066054616471961
9,5,100,0.05,0.02090118604672044
10,5,125,0.05,0.028736287061510234
11,5,150,0.05,0.03102062082235628
12,5,175,0.05,0.02085282265648812
13,5,200,0.05,0.017448747626256755
14,5,225,0.05,0.02929777137517568
15,5,250,0.05,0.019833018508419356
16,10,1,0.05,0.12141211764844133
17,10,2,0.05,0.06718303539802682
18,10,5,0.05,0.0213472446884045
19,10,10,0.05,0.022620481836740983
20,10,20,0.05,0.023712852101868753
21,10,30,0.05,0.02925902337360181
22,10,40,0.05,0.02977465866239718
23,10,50,0.05,0.0322297045497234
24,10,75,0.05,0.02555172298912091
25,10,100,0.05,0.019126057111963985
26,10,125,0.05,0.02168501558259649
27,10,150,0.05,0.023711987924510635
28,10,175,0.05,0.02401039591915162
29,10,200,0.05,0.01697581272636282
30,10,225,0.05,0.017070952455362404
31,10,250,0.05,0.021647603378809156
32,20,1,0.05,0.1935467867933134
33,20,2,0.05,0.13304759035344518
34,20,5,0.05,0.044068304730626916
35,20,10,0.05,0.01875121813974288
36,20,20,0.05,0.021810203128819157
37,20,30,0.05,0.027336866450137404
38,20,40,0.05,0.03572643836566762
39,20,50,0.05,0.025259271151009687
40,20,75,0.05,0.025808702003926095
41,20,100,0.05,0.02145955120140689
42,20,125,0.05,0.024881323955581104
43,20,150,0.05,0.03691433663683445
44,20,175,0.05,0.02796911886166535
45,20,200,0.05,0.047589404709290566
46,20,225,0.05,0.01868027729166178
47,20,250,0.05,0.05950858729761083
48,50,1,0.05,0.2487112223277845
49,50,2,0.05,0.21718991919550487
50,50,5,0.05,0.13943461799605197
51,50,10,0.05,0.057233554102981136
52,50,20,0.05,0.01369708985550377
53,50,30,0.05,0.025595109886875314
54,50,40,0.05,0.03141105799786268
55,50,50,0.05,0.03561194474136612
56,50,75,0.05,0.0343672519043055
57,50,100,0.05,0.032666531989772284
58,50,125,0.05,0.03838078167640956
59,50,150,0.05,0.04110391512339089
60,50,175,0.05,0.04659581040216326
61,50,200,0.05,0.045634088837729035
62,50,225,0.05,0.03903461700082858
63,50,250,0.05,0.05200343748444113
64,100,1,0.05,0.26841709443995937
65,100,2,0.05,0.2519660721001155
