,0,1,2,3
151,350,50,0.05,0.11000481767293462
152,350,75,0.05,0.05523613171083588
153,350,100,0.05,0.01815116899355207
154,350,125,0.05,0.013010358532685324
155,350,150,0.05,0.03235850633094766
156,350,175,0.05,0.04516140185121354
157,350,200,0.05,0.05566239988209815
158,350,225,0.05,0.06414896927414444
159,350,250,0.05,0.06777632907944448
160,400,1,0.05,0.28355985516940224
161,400,2,0.05,0.2793382582929757
162,400,5,0.05,0.26748081690980274
163,400,10,0.05,0.24885108322375743
164,400,20,0.05,0.21429364841921983
165,400,30,0.05,0.18335172617413548
166,400,40,0.05,0.15506001700847807
167,400,50,0.05,0.12877974034798237
168,400,75,0.05,0.07418381457590319
169,400,100,0.05,0.034771217858090724
170,400,125,0.05,0.00967733983049917
171,400,150,0.05,0.01742823732836774
172,400,175,0.05,0.037107200519508804
173,400,200,0.05,0.0467430667916965
174,400,225,0.05,0.06068283590373694
175,400,250,0.05,0.0654742698414814
176,450,1,0.05,0.2841392492615619
177,450,2,0.05,0.2803765170582478
178,450,5,0.05,0.2697705938874029
179,450,10,0.05,0.2532004488016417
180,450,20,0.05,0.2226594059724004
181,450,30,0.05,0.19450332845525667
182,450,40,0.05,0.16843820874720905
183,450,50,0.05,0.14419842255235993
184,450,75,0.05,0.09230750694129186
185,450,100,0.05,0.05294577219101776
186,450,125,0.05,0.022304718185270713
187,450,150,0.05,0.016930594298157534
188,450,175,0.05,0.02409276374273564
189,450,200,0.05,0.03447709856706783
190,450,225,0.05,0.049001376359827854
191,450,250,0.05,0.05408732539477468
192,500,1,0.05,0.2845846785162205
193,500,2,0.05,0.2811839040615473
194,500,5,0.05,0.27166757651509826
195,500,10,0.05,0.2567530040262783
196,500,20,0.05,0.22895890463403765
197,500,30,0.05,0.20360341509195695
198,500,40,0.05,0.1796288432813425
199,500,50,0.05,0.15732118366343523
200,500,75,0.05,0.1085689812697547
201,500,100,0.05,0.06972961288983683
202,500,125,0.05,0.038917314550854225
203,500,150,0.05,0.014814934767193352
204,500,175,0.05,0.014046250229470515
205,500,200,0.05,0.031155315810133675
206,500,225,0.05,0.04026316014758765
207,500,250,0.05,0.05529355409938889
