"('greedy_selection', 'moment_updating')","('q_value_sampling', 'moment_updating')","('myopic_vpi_selection', 'moment_updating')"
-41.8,-57.7,-64.1
-58.2,-83.5,-47.7
-57.4,-45.3,-31.2
-30.2,-73.7,-46.5
-30.5,-52.5,-32.6
-38.9,-73.8,-35.1
-35.3,-63.6,-38.9
-38.4,-63.3,-49.8
-39.9,-72.2,-40.8
-43.1,-54.1,-30.9
-41.8,-46.3,-60.2
-44.4,-64.3,-34.4
-24.9,-64.9,-31.5
-42.5,-57.0,-35.8
-14.5,-70.0,-34.5
-33.3,-47.1,-50.9
-21.4,-51.5,-29.5
-59.8,-56.2,-49.6
-35.2,-45.3,-41.9
-34.4,-49.0,-17.0
-30.5,-65.2,-26.3
-46.8,-69.1,-55.5
-31.8,-55.0,-31.3
-43.2,-56.1,-21.4
-40.7,-48.5,-57.4
-31.3,-65.6,-35.5
-45.8,-44.5,-32.9
-32.1,-48.0,-15.7
-22.9,-29.3,-30.3
-28.1,-33.9,-58.1
-41.3,-62.2,-30.5
-23.3,-45.6,-27.1
-28.4,-49.7,-21.0
-13.7,-40.3,-43.9
-51.8,-41.0,-26.3
-30.4,-36.9,-40.1
-39.9,-60.6,-30.6
-24.0,-44.3,-50.5
-34.7,-61.3,-29.2
-52.0,-45.9,-26.0
-33.1,-48.7,-15.3
-45.1,-36.0,-29.6
-11.4,-46.1,-40.1
-35.6,-38.2,-39.8
-22.5,-42.6,-24.8
-28.1,-22.0,-34.6
-34.3,-67.4,-20.4
-32.9,-42.0,-16.0
-57.6,-59.4,-33.3
-36.6,-29.3,-27.7
-23.3,-48.3,-37.3
-16.2,-46.6,-30.3
-15.5,-46.5,-18.9
-32.1,-65.3,-36.2
-34.6,-53.1,-18.8
-27.2,-50.3,-16.0
-29.2,-39.2,-16.1
-25.0,-41.7,-24.5
-13.2,-33.8,-21.7
-20.7,-27.6,-38.2
-26.3,-40.0,-33.1
-17.4,-59.0,-19.5
-12.4,-55.5,-20.6
-22.6,-35.5,-34.5
-14.9,-58.6,-26.7
-25.8,-46.4,-30.5
-24.7,-20.9,-7.4
-9.0,-30.9,-23.0
-27.9,-57.3,-17.0
-22.5,-47.9,-12.3
-32.4,-47.8,-22.2
-23.9,-24.1,-32.0
-13.2,-26.7,-27.7
-25.9,-30.0,-12.6
-12.0,-32.6,-25.8
-14.1,-44.7,-22.0
-19.2,-40.2,-19.0
-22.3,-51.6,-7.7
-24.4,-41.8,-32.3
-30.6,-50.9,-11.1
-23.5,-53.5,-24.7
-20.0,-36.5,-17.4
-28.4,-39.6,-19.3
-39.9,-33.4,-13.2
-11.6,-44.0,-25.6
-33.7,-41.1,-12.4
-20.9,-38.7,-33.5
-35.7,-66.0,-21.9
-22.1,-27.2,-23.6
-16.9,-36.8,-42.8
-17.9,-46.4,-20.2
-23.3,-20.7,-10.3
-29.6,-28.1,-23.9
-17.4,-47.7,-26.1
-19.1,-42.2,-10.8
-25.5,-28.7,-23.2
-18.3,-21.9,-27.5
-28.3,-34.4,-13.6
-5.5,-32.1,-18.9
-23.2,-27.4,-22.4
-18.1,-39.4,-41.3
-16.8,-33.6,-10.9
-14.3,-43.0,-17.5
-24.7,-39.7,-13.8
-13.1,-25.5,-24.7
-17.2,-38.1,-16.2
-21.3,-36.5,-12.9
-19.3,-24.6,-11.7
-26.5,-41.3,-34.1
-15.2,-39.7,-28.3
-22.4,-37.0,-21.0
-23.2,-22.9,-13.4
-11.5,-41.6,-11.5
-15.6,-47.3,-22.2
