greedy,constant-epsilon,epsilon-greedy,boltzmann-exploration
-49.5,-57.6,-70.0,-81.2
-55.2,-75.4,-86.0,-73.2
-78.6,-60.2,-55.1,-72.2
-43.2,-60.9,-77.6,-73.1
-60.7,-71.6,-79.4,-63.6
-49.6,-70.4,-65.9,-81.6
-85.2,-59.3,-42.8,-82.9
-51.5,-68.6,-76.9,-64.3
-51.9,-56.0,-62.7,-64.2
-66.6,-57.1,-41.6,-70.5
-81.2,-44.7,-67.9,-87.6
-64.6,-62.4,-78.0,-87.4
-68.1,-57.3,-49.0,-53.5
-68.5,-82.0,-57.0,-88.2
-72.8,-76.7,-46.3,-77.3
-44.6,-66.0,-69.4,-81.7
-83.7,-63.7,-39.6,-83.7
-68.7,-62.6,-54.1,-93.4
-63.8,-55.4,-96.4,-76.6
-54.7,-72.1,-76.4,-56.4
-52.5,-58.8,-69.2,-84.6
-60.9,-84.1,-53.7,-64.0
-90.8,-59.3,-64.1,-80.4
-57.2,-74.6,-56.7,-84.3
-55.4,-61.4,-35.4,-64.9
-45.6,-83.4,-75.6,-70.5
-80.6,-64.9,-56.6,-51.9
-50.3,-83.4,-62.7,-59.7
-61.0,-58.3,-66.9,-80.0
-54.2,-71.7,-56.5,-65.7
-69.8,-79.0,-54.1,-84.8
-51.2,-71.1,-71.0,-78.6
-83.6,-62.6,-61.6,-50.3
-57.4,-58.9,-60.5,-58.0
-38.7,-56.9,-60.6,-66.0
-84.6,-60.8,-74.9,-60.5
-64.7,-57.7,-54.6,-62.9
-61.7,-70.2,-57.5,-61.2
-61.4,-76.1,-37.1,-67.6
-44.3,-52.9,-35.1,-61.5
-66.0,-58.5,-62.1,-46.8
-66.6,-81.3,-47.4,-67.9
-69.1,-46.0,-52.3,-55.5
-63.1,-70.7,-48.0,-66.5
-64.7,-61.6,-52.7,-59.8
-46.0,-60.6,-36.3,-64.3
-37.6,-50.5,-69.4,-79.8
-60.8,-70.2,-71.1,-63.6
-53.7,-44.2,-49.5,-74.0
-47.8,-73.2,-40.9,-63.3
-88.9,-35.5,-68.3,-58.0
-49.1,-76.4,-58.3,-58.6
-59.9,-66.3,-69.8,-71.9
-57.7,-66.1,-62.9,-52.0
-72.2,-47.1,-69.4,-60.3
-38.1,-64.9,-57.2,-71.2
-43.5,-56.8,-88.1,-69.0
-61.0,-49.0,-33.9,-66.4
-51.6,-59.9,-57.9,-41.9
-72.1,-38.7,-31.1,-72.1
-49.5,-69.4,-49.2,-56.9
-34.3,-55.7,-38.7,-83.5
-39.5,-57.4,-41.8,-62.3
-60.7,-49.6,-57.5,-69.1
-37.4,-34.3,-36.8,-66.4
-34.5,-70.0,-42.2,-60.3
-60.6,-36.4,-67.0,-57.3
-71.6,-55.2,-31.6,-74.7
-41.4,-50.8,-45.0,-42.1
-49.3,-24.8,-37.7,-51.1
-47.0,-36.1,-34.7,-69.5
-67.4,-52.4,-43.7,-49.8
-55.7,-39.4,-54.0,-55.2
-64.5,-80.2,-57.7,-60.1
-36.1,-27.4,-52.4,-48.8
-49.3,-35.2,-62.7,-48.6
-46.2,-32.5,-46.0,-71.4
-55.6,-68.4,-25.0,-36.0
-34.3,-56.5,-32.1,-43.3
-43.7,-53.8,-59.0,-45.2
-50.4,-48.0,-35.2,-60.1
-56.2,-47.6,-31.7,-61.9
-60.0,-56.5,-45.1,-73.1
-49.3,-61.7,-66.2,-55.7
-54.7,-65.6,-42.3,-40.0
-65.2,-41.3,-53.0,-39.3
-27.0,-55.8,-65.3,-45.4
-43.7,-53.4,-38.2,-53.0
-42.3,-38.3,-39.4,-26.6
-40.9,-35.2,-34.6,-53.0
-37.2,-41.8,-27.1,-69.3
-60.4,-24.8,-43.3,-43.3
-37.4,-50.3,-40.7,-41.3
-56.1,-32.7,-28.6,-50.8
-15.4,-54.2,-62.3,-54.9
-58.1,-43.6,-21.7,-31.1
-45.4,-23.1,-21.7,-55.4
-52.6,-37.3,-62.6,-29.2
-25.8,-58.1,-32.7,-33.9
-32.7,-26.5,-40.1,-40.1
-38.5,-40.3,-37.4,-54.7
-43.7,-37.0,-45.2,-60.9
-46.2,-35.6,-52.0,-30.9
-43.1,-39.7,-37.7,-69.7
-43.7,-44.6,-36.9,-56.7
-39.7,-43.5,-34.1,-46.7
-27.3,-47.7,-19.4,-41.0
-40.6,-64.1,-36.2,-35.7
-46.4,-19.6,-20.6,-58.9
-57.6,-32.0,-46.3,-40.3
-37.3,-46.2,-38.4,-23.6
-45.1,-49.6,-53.0,-38.7
-49.8,-40.7,-33.6,-41.1
-37.3,-24.5,-50.7,-42.1
-43.6,-33.1,-17.8,-42.0
-33.1,-25.5,-44.7,-50.9
-8.8,-26.6,-44.4,-74.5
-34.6,-60.3,-40.9,-52.1
-23.9,-32.0,-18.6,-37.8
-60.3,-48.6,-58.8,-39.2
-28.6,-48.6,-6.8,-50.7
-48.8,-24.5,-56.4,-23.2
-35.2,-36.1,-49.2,-34.3
-45.6,-35.3,-17.7,-45.6
-37.1,-35.0,-30.6,-23.1
-12.5,-16.1,-36.0,-56.9
-42.4,-26.6,-31.0,-42.8
-21.1,-21.3,-35.5,-27.4
-32.8,-61.7,-36.6,-52.5
-17.6,-50.3,-25.1,-14.1
-12.5,-21.2,-52.6,-41.7
-37.5,-46.8,-47.7,-35.5
-38.8,-37.5,-34.2,-29.3
-52.0,-50.4,-17.0,-40.4
-27.9,-32.0,-27.2,-31.5
-41.2,-30.3,-21.6,-77.2
-36.1,-23.9,-31.1,-44.0
-13.3,-31.8,-47.0,-51.5
-48.4,-32.2,-43.5,-22.3
-30.8,-46.4,-31.4,-37.8
-21.1,-24.9,-37.2,-37.0
-21.7,-56.5,-23.8,-35.9
-23.0,-48.8,-51.8,-31.4
-22.7,-35.4,-45.8,-31.0
-31.2,-21.7,-9.6,-55.1
-32.5,-33.0,-37.9,-32.9
-36.7,-45.4,-41.9,-48.2
-39.2,-19.7,-56.7,-27.3
-21.2,-56.9,-16.6,-45.2
-36.2,-31.6,-42.8,-14.1
-23.8,-63.7,-16.6,-41.3
-38.2,-22.5,-39.6,-36.9
-10.7,-51.7,-13.7,-23.1
-35.6,-31.5,-47.1,-48.8
-44.3,-23.1,-52.3,-32.7
-27.6,-34.4,-15.7,-25.2
-21.8,-33.3,-29.7,-23.2
-31.0,-28.5,-29.0,-61.8
-13.1,-13.5,-17.9,-35.9
-31.7,-40.5,-39.1,-44.1
-10.6,-51.2,-29.5,-41.7
-33.4,-18.5,-15.8,-27.2
-16.5,-43.3,-34.9,-49.6
-26.1,-41.2,-22.7,-33.9
-24.9,-29.3,-24.6,-33.9
-32.6,-10.1,-18.6,-21.1
-19.3,-30.5,-15.6,-6.7
-12.5,-48.2,-21.6,-31.8
-23.4,-34.3,-39.6,-34.0
-26.3,-28.1,-23.3,-20.0
-21.6,-17.4,-25.7,-40.1
-43.9,-39.1,-17.6,-19.5
-33.5,-31.2,-24.5,-24.5
-22.6,-30.0,-3.2,-29.8
-40.5,-33.8,-38.7,-17.6
-28.4,-24.1,-15.6,-16.0
-24.0,-41.6,-40.2,-38.5
-28.5,-23.5,-10.5,-23.3
-25.2,-30.1,-34.6,-43.3
-42.9,-33.2,-31.7,-43.5
-50.6,-22.1,-13.3,-24.7
-37.9,-36.1,-20.5,-25.5
-17.9,-31.9,-22.3,-29.4
-13.9,-17.4,-47.6,-28.7
