"('greedy_selection', 'moment_updating')","('q_value_sampling', 'moment_updating')"
-101.0,-75.66666666666667
-101.0,-101.0
-101.0,-65.66666666666667
-101.0,-87.0
-101.0,-63.666666666666664
-101.0,-80.0
-101.0,-71.66666666666667
-101.0,-77.66666666666667
-101.0,-73.0
-101.0,-87.0
-101.0,-66.0
-101.0,-60.333333333333336
-101.0,-87.0
-101.0,-80.0
-101.0,-79.66666666666667
-101.0,-62.0
-101.0,-66.0
-101.0,-56.666666666666664
-101.0,-60.666666666666664
-101.0,-60.333333333333336
-101.0,-47.666666666666664
-101.0,-76.66666666666667
-101.0,-73.0
-101.0,-55.666666666666664
-101.0,-66.0
-101.0,-80.0
-101.0,-49.333333333333336
-101.0,-60.666666666666664
-101.0,-66.0
-101.0,-66.0
-101.0,-38.333333333333336
-101.0,-63.0
-101.0,-58.666666666666664
-101.0,-57.0
-101.0,-51.0
-101.0,-66.0
-101.0,-27.666666666666668
-101.0,-29.333333333333332
-101.0,-33.0
-101.0,-73.0
-101.0,-55.666666666666664
-101.0,-14.333333333333334
-101.0,-66.0
-101.0,-38.666666666666664
-101.0,-39.666666666666664
-101.0,-35.0
-101.0,-35.0
-101.0,-55.666666666666664
-101.0,-43.0
-101.0,-38.333333333333336
-101.0,-38.0
-101.0,-16.333333333333332
-101.0,-12.333333333333334
-101.0,-18.333333333333332
-101.0,-39.666666666666664
-101.0,-53.0
-101.0,-38.666666666666664
-101.0,-32.0
-101.0,-29.666666666666668
-101.0,-26.333333333333332
-101.0,-20.666666666666668
-101.0,-34.666666666666664
-101.0,-16.0
-101.0,-34.333333333333336
-101.0,-30.0
-101.0,-23.333333333333332
-101.0,-30.333333333333332
-101.0,-12.0
-101.0,-8.0
-101.0,-9.0
-101.0,-8.333333333333334
-101.0,-44.0
-101.0,-33.0
-101.0,-7.666666666666667
-101.0,-15.666666666666666
-101.0,-10.666666666666666
-101.0,-25.333333333333332
-101.0,-32.666666666666664
-101.0,-30.666666666666668
-101.0,-36.0
-101.0,-11.333333333333334
-101.0,-8.666666666666666
-101.0,-6.0
-101.0,-9.0
-101.0,-18.333333333333332
-101.0,-40.666666666666664
-101.0,-44.666666666666664
-101.0,-23.0
-101.0,-10.333333333333334
-101.0,-6.666666666666667
-101.0,-8.0
-101.0,-19.0
-101.0,-27.333333333333332
-101.0,-20.0
-101.0,-23.333333333333332
-101.0,-10.666666666666666
-101.0,-23.333333333333332
-101.0,-6.666666666666667
-101.0,-14.0
-101.0,-9.333333333333334
-101.0,-6.333333333333333
-101.0,-21.666666666666668
-101.0,-10.666666666666666
-101.0,-6.0
-101.0,-5.666666666666667
-101.0,-14.666666666666666
-101.0,-6.666666666666667
-101.0,-26.666666666666668
-101.0,-12.333333333333334
-101.0,-23.333333333333332
-101.0,-8.666666666666666
-101.0,-21.0
-101.0,-13.0
-101.0,-10.0
-101.0,-9.666666666666666
-101.0,-9.0
-101.0,-9.0
-101.0,-12.0
-101.0,-14.0
-101.0,-10.333333333333334
-101.0,-40.333333333333336
-101.0,-25.333333333333332
-101.0,-11.333333333333334
-101.0,-19.666666666666668
-101.0,-23.333333333333332
-101.0,-19.0
-101.0,-6.666666666666667
-101.0,-24.0
-101.0,-8.666666666666666
-101.0,-29.333333333333332
-101.0,-21.0
-101.0,-8.0
-101.0,-11.0
-101.0,-13.333333333333334
-101.0,-9.333333333333334
-101.0,-21.0
-101.0,-14.0
-101.0,-19.666666666666668
-101.0,-12.0
-101.0,-4.333333333333333
