"(1, 10000, 'constant-epsilon', 0.1, 1)","(1, 10000, 'greedy', 0, 5)","(0.5, 10000, 'epsilon_greedy', 0.1, 50)","(0.25, 10000, 'constant-epsilon', 0.1, 5)","(0.25, 10000, 'boltzmann_exploration', 1.5, 5)"
-73.0,5.2,-50.2,-26.7,-20.8
-74.8,5.2,-39.6,-6.3,-25.4
-44.4,5.2,-45.5,-11.1,-20.0
-58.9,5.2,-39.7,1.8,-56.3
-72.4,5.2,-32.0,2.5,-33.4
-58.3,5.2,-27.1,1.5,-20.2
-58.8,5.2,-39.9,-8.7,-30.8
-62.8,5.2,-46.5,-0.1,-52.0
-78.6,5.2,-28.0,2.6,-21.3
-56.5,5.2,-42.8,0.2,-38.2
-66.2,5.2,-28.7,-8.7,-33.4
-73.3,5.2,-18.3,-7.3,-39.1
-76.2,5.2,-14.5,0.3,-21.2
-64.0,5.2,-23.5,-0.6,-3.7
-59.7,5.2,-18.4,2.7,-27.8
-72.1,5.2,-3.0,0.5,-1.1
-52.5,5.2,-13.1,3.2,-8.2
-70.5,5.2,-15.4,1.9,-11.7
-66.7,5.2,-0.4,2.4,-13.6
-50.6,5.2,-18.3,-7.9,-12.1
-57.9,5.2,-8.8,1.1,3.4
-81.8,5.2,3.3,1.6,-10.5
-56.7,5.2,2.8,-10.7,-0.3
-74.3,5.2,-8.4,1.8,-0.4
-74.9,5.2,3.1,-0.1,2.2
-73.7,5.2,1.7,-0.7,-9.8
-47.1,5.2,-7.8,0.5,-4.1
-58.2,5.2,-6.8,1.8,4.1
-58.9,5.2,2.2,2.5,4.0
-36.0,5.2,2.6,2.3,1.0
-60.6,5.2,-8.6,1.8,-6.5
-66.4,5.2,1.0,2.1,-5.7
-72.6,5.2,-8.0,2.0,4.1
-38.2,5.2,-19.1,2.7,2.0
-58.3,5.2,-12.7,-2.4,4.2
-62.2,5.2,5.3,2.3,5.9
-51.3,5.2,-0.3,1.3,-18.4
-21.4,5.2,-17.0,0.6,-7.4
-61.2,5.2,-3.5,0.9,4.6
-44.4,5.2,2.2,2.0,5.3
-51.3,5.2,-13.4,-9.0,4.7
-80.9,5.2,2.7,3.3,6.1
-64.3,5.2,1.8,-5.7,5.4
-58.8,5.2,0.6,-1.4,6.2
-44.4,5.2,2.8,2.2,3.6
-54.4,5.2,-1.6,3.0,0.5
-66.4,5.2,2.6,-7.9,4.9
-51.7,5.2,-6.4,-19.7,5.6
-62.8,5.2,-17.1,-0.1,-1.4
-55.6,5.2,2.6,3.2,5.5
-43.7,5.2,-9.9,3.2,5.1
-59.8,5.2,2.4,-8.4,5.0
-55.8,5.2,-18.6,0.5,5.0
-58.6,5.2,-5.8,1.9,5.6
-48.7,5.2,0.0,1.3,6.4
-35.8,5.2,1.6,0.5,5.7
-48.4,5.2,2.8,1.0,5.7
-51.1,5.2,2.0,0.8,0.9
-44.4,5.2,-8.0,2.7,2.8
-66.9,5.2,2.7,2.1,5.3
-46.0,5.2,-13.0,3.1,4.2
-32.5,5.2,2.0,1.2,6.3
-41.3,5.2,-7.5,-2.1,5.4
-29.2,5.2,-9.2,2.2,6.1
-51.5,5.2,1.8,0.0,6.1
-56.0,5.2,-3.6,2.7,5.4
-57.5,5.2,-7.6,1.8,6.0
-50.5,5.2,-7.4,3.1,5.4
-29.0,5.2,0.3,1.7,5.8
-37.3,5.2,0.8,2.1,6.1
-75.4,5.2,2.8,-8.7,4.2
-35.5,5.2,2.6,2.3,4.9
-29.7,5.2,-3.5,1.9,-2.9
-44.6,5.2,-8.5,1.0,4.5
-68.9,5.2,2.2,0.8,6.0
-76.5,5.2,0.2,2.3,5.1
-38.2,5.2,1.5,2.2,6.2
-29.1,5.2,1.9,2.0,4.6
-50.3,5.2,-7.2,2.5,3.9
-19.8,5.2,-9.6,2.1,4.7
-37.6,5.2,-9.2,1.8,4.3
-43.8,5.2,2.9,3.1,5.5
-57.2,5.2,1.8,-7.9,6.0
-42.5,5.2,1.1,3.5,5.8
-37.3,5.2,-12.7,2.6,-5.4
-43.1,5.2,2.3,0.6,3.7
-40.4,5.2,3.1,1.5,5.6
-27.9,5.2,2.4,2.0,2.0
-28.3,5.2,-15.7,-4.9,4.6
-76.9,5.2,-2.1,2.2,5.5
-37.6,5.2,2.1,-1.0,-6.7
-14.0,5.2,-7.8,2.4,6.3
-28.7,5.2,0.6,3.5,6.3
-47.8,5.2,-6.4,2.0,6.3
-50.0,5.2,-7.6,1.9,6.3
-44.3,5.2,-8.0,-9.2,4.0
-39.0,5.2,2.1,2.5,5.5
-49.4,5.2,-18.8,1.7,5.5
-38.5,5.2,3.2,3.1,5.4
-33.1,5.2,-7.6,2.0,6.4
-59.9,5.2,2.2,2.4,5.4
-32.1,5.2,-16.1,2.6,6.2
-21.6,5.2,-7.5,3.6,6.3
-21.1,5.2,-10.3,0.3,6.4
-39.5,5.2,1.7,1.7,6.0
-38.0,5.2,3.7,2.0,4.7
-52.8,5.2,2.7,2.8,4.3
-41.0,5.2,3.1,1.3,5.8
-25.6,5.2,3.6,0.9,4.6
-21.3,5.2,2.4,2.2,5.7
-41.7,5.2,3.0,2.8,5.2
-22.2,5.2,1.7,1.9,-4.8
-38.6,5.2,2.3,1.3,5.7
-24.4,5.2,-1.9,2.8,5.1
-29.7,5.2,2.6,1.6,4.1
-18.2,5.2,0.0,2.4,6.1
-26.5,5.2,1.7,3.0,5.1
-20.4,5.2,1.2,2.5,5.2
-35.4,5.2,1.0,1.8,5.5
-31.0,5.2,3.0,2.3,5.0
-25.4,5.2,2.4,1.8,4.8
-26.9,5.2,0.8,1.9,6.2
-19.1,5.2,-6.8,1.2,5.5
-37.3,5.2,0.1,2.8,3.9
-58.5,5.2,2.9,2.3,4.7
-42.8,5.2,2.2,2.5,5.8
-35.0,5.2,-10.6,2.2,5.5
-55.9,5.2,-7.1,3.4,4.9
-12.8,5.2,-8.5,1.3,4.7
-32.8,5.2,3.0,2.2,5.8
-16.6,5.2,3.4,2.4,6.4
-16.0,5.2,3.2,2.1,3.6
-28.2,5.2,2.6,2.4,2.5
-33.8,5.2,3.0,1.9,4.8
-43.9,5.2,3.0,2.4,5.8
-19.2,5.2,2.4,2.4,5.6
-22.4,5.2,2.1,1.3,6.0
-34.4,5.2,2.5,2.1,6.5
-19.4,5.2,3.7,2.1,5.6
-28.9,5.2,-6.8,2.8,5.2
-16.3,5.2,-6.9,1.4,6.0
-28.3,5.2,1.9,2.7,5.3
-37.1,5.2,-13.5,2.2,6.0
-17.9,5.2,2.2,2.8,4.8
-23.0,5.2,-1.5,2.5,5.0
-33.7,5.2,0.6,2.2,5.5
-44.2,5.2,0.9,2.5,6.3
-22.2,5.2,2.5,2.3,5.9
-13.0,5.2,2.8,2.3,5.7
-20.7,5.2,-6.8,2.6,6.3
-18.5,5.2,-5.4,3.0,5.3
-52.7,5.2,2.7,2.9,5.8
-36.3,5.2,2.7,2.7,5.8
-27.0,5.2,-7.6,2.0,5.1
-28.5,5.2,-8.0,1.3,5.6
-39.6,5.2,-1.4,1.9,6.3
-19.2,5.2,2.6,0.4,4.5
-20.1,5.2,1.7,2.8,5.5
-25.5,5.2,3.7,2.4,5.3
-35.3,5.2,1.1,0.6,4.5
-10.7,5.2,-8.5,1.7,5.8
-19.2,5.2,2.4,3.0,6.2
-47.1,5.2,2.3,3.1,-4.9
-12.8,5.2,3.1,2.3,-5.3
-14.7,5.2,2.6,2.8,5.2
-26.7,5.2,-8.8,2.1,5.7
-16.2,5.2,-9.4,2.6,5.7
-37.7,5.2,2.0,2.4,5.8
-39.6,5.2,-8.0,1.5,5.9
-21.4,5.2,2.6,2.6,5.3
-8.5,5.2,2.5,3.2,5.4
-6.9,5.2,2.9,1.5,5.0
-24.5,5.2,2.7,2.3,4.9
-23.0,5.2,1.7,2.1,5.8
-8.8,5.2,2.1,1.8,-6.7
-11.2,5.2,2.5,2.2,4.9
-21.4,5.2,0.3,1.9,5.7
-32.3,5.2,3.0,2.3,4.5
-20.6,5.2,-18.7,2.4,5.4
-11.7,5.2,-7.9,2.4,5.3
-40.5,5.2,2.1,2.1,5.7
-11.3,5.2,-8.4,1.8,6.5
-15.0,5.2,2.2,2.1,4.8
-18.7,5.2,2.0,2.9,4.1
-24.3,5.2,2.4,2.2,5.5
-18.6,5.2,3.0,2.5,6.3
-18.4,5.2,2.3,2.1,4.8
-37.1,5.2,-8.3,2.7,5.4
-12.3,5.2,2.8,4.1,5.7
-18.9,5.2,-7.6,-1.4,5.3
-13.1,5.2,1.7,2.8,5.5
-28.9,5.2,-8.8,3.4,6.0
-13.0,5.2,-8.2,3.1,5.1
-9.2,5.2,2.5,5.0,5.7
-15.2,5.2,2.7,2.9,6.0
-22.7,5.2,2.9,3.5,6.4
-20.9,5.2,0.3,4.1,4.9
-16.6,5.2,-8.3,4.8,5.0
-9.2,5.2,0.7,4.2,5.0
-11.3,5.2,1.0,3.4,4.9
-16.4,5.2,-8.0,4.6,4.2
-19.8,5.2,2.6,1.8,5.0
-22.6,5.2,-0.5,4.0,5.4
-9.8,5.2,2.5,4.6,4.8
-9.4,5.2,3.0,3.6,4.7
-10.4,5.2,-13.5,3.7,5.7
-12.3,5.2,2.6,2.4,5.5
-19.0,5.2,0.7,1.2,4.8
-31.2,5.2,-9.2,3.8,4.4
-9.8,5.2,1.6,3.9,5.2
-12.0,5.2,2.7,2.8,5.0
-13.4,5.2,1.6,4.5,5.8
-9.4,5.2,1.5,3.2,5.3
-22.2,5.2,2.7,3.4,5.8
-13.2,5.2,-8.0,2.7,4.6
-14.6,5.2,-18.9,3.6,5.4
-8.8,5.2,2.4,3.9,5.9
-11.9,5.2,2.3,3.8,5.5
-7.6,5.2,1.6,4.0,4.3
-9.0,5.2,-8.5,4.0,6.4
-19.7,5.2,1.8,4.0,3.1
-17.3,5.2,-8.6,4.6,5.2
-19.8,5.2,2.2,4.0,5.1
-30.6,5.2,3.0,3.5,5.4
-10.4,5.2,1.4,4.5,5.5
-7.2,5.2,-7.6,3.7,4.3
-19.3,5.2,2.5,4.0,5.8
-10.1,5.2,2.3,2.7,5.2
-8.7,5.2,1.0,2.2,5.8
-28.1,5.2,3.4,3.7,4.4
-11.8,5.2,2.4,2.8,5.6
-19.9,5.2,1.5,3.5,5.7
-6.0,5.2,2.6,3.6,-6.1
-26.9,5.2,3.0,3.2,3.9
-10.7,5.2,1.9,3.6,4.5
-17.9,5.2,-7.8,0.9,5.1
-12.2,5.2,3.1,3.7,4.4
-28.1,5.2,0.7,3.6,4.0
-10.0,5.2,-10.0,4.5,5.6
-12.2,5.2,2.6,3.2,5.2
-22.7,5.2,2.6,3.5,5.8
-8.2,5.2,2.6,3.5,6.0
-8.7,5.2,2.9,3.7,3.7
-11.2,5.2,-8.4,3.8,4.4
-11.6,5.2,-14.3,-7.8,4.4
-9.9,5.2,1.3,3.8,4.5
-11.3,5.2,2.8,4.7,4.4
-16.2,5.2,4.1,3.1,4.8
-13.7,5.2,2.2,4.4,3.6
-20.4,5.2,-7.4,3.3,5.9
-16.0,5.2,3.0,3.0,5.0
-17.2,5.2,-8.1,3.8,5.0
-19.7,5.2,-17.2,6.2,4.5
-5.3,5.2,1.4,2.7,4.5
-15.5,5.2,1.0,3.8,5.1
-8.6,5.2,3.1,3.9,5.2
-21.6,5.2,2.6,3.9,5.5
-9.2,5.2,1.9,3.5,5.5
-10.6,5.2,-1.0,4.5,4.4
-16.9,5.2,2.3,4.2,5.1
-17.7,5.2,2.5,4.2,4.1
-9.8,5.2,-7.8,4.1,4.8
-10.6,5.2,2.8,4.4,4.4
-8.9,5.2,-1.4,4.8,2.8
-9.9,5.2,2.4,3.8,4.5
-19.8,5.2,-8.3,3.8,5.4
-10.1,5.2,2.7,4.0,4.7
-9.7,5.2,2.3,3.3,5.0
-8.6,5.2,2.3,4.0,4.3
-8.7,5.2,1.8,4.1,4.7
-19.7,5.2,3.1,-6.7,5.5
-11.4,5.2,2.2,4.3,3.3
-10.6,5.2,2.4,2.6,4.7
-9.4,5.2,2.3,3.9,4.2
-9.6,5.2,2.6,4.3,4.5
-8.1,5.2,3.0,2.9,4.2
-14.1,5.2,3.2,3.6,1.9
-12.8,5.2,2.5,4.3,4.9
-20.2,5.2,-7.8,2.9,4.0
-9.2,5.2,-7.4,3.0,-5.2
-10.0,5.2,2.6,2.7,4.8
-11.4,5.2,3.0,2.3,5.0
-19.6,5.2,-9.1,3.3,4.5
-19.6,5.2,1.9,3.8,4.9
-27.8,5.2,1.2,3.0,2.3
-23.3,5.2,2.7,2.4,3.2
-23.2,5.2,-6.2,2.6,3.7
-6.4,5.2,-6.6,3.0,5.8
-9.5,5.2,3.1,3.4,3.3
-13.0,5.2,-0.4,3.6,4.1
-10.4,5.2,2.5,2.0,3.7
-10.1,5.2,2.8,4.4,2.7
-9.7,5.2,1.8,2.7,5.8
-10.6,5.2,3.5,2.0,5.7
-8.4,5.2,-6.6,4.4,4.0
-9.9,5.2,1.1,3.2,4.8
-10.2,5.2,2.3,4.6,4.2
-10.0,5.2,3.0,4.3,4.4
-9.8,5.2,2.2,4.4,4.7
-19.5,5.2,2.7,2.4,4.2
-9.9,5.2,1.8,2.7,5.1
-10.2,5.2,2.1,2.2,4.5
-9.6,5.2,-2.1,4.4,4.6
-9.5,5.2,2.9,4.2,3.0
-10.5,5.2,-8.6,3.4,4.9
-9.9,5.2,2.1,2.7,4.1
-18.7,5.2,2.4,3.6,4.6
-8.1,5.2,0.2,3.6,4.8
-10.4,5.2,2.2,3.9,4.9
-8.9,5.2,2.7,4.3,4.4
-6.9,5.2,2.7,3.3,2.9
-10.9,5.2,2.1,2.7,3.7
-23.6,5.2,2.3,3.8,3.5
-10.2,5.2,1.7,3.3,4.0
-17.8,5.2,3.0,4.0,3.7
-10.5,5.2,0.1,4.0,5.6
-11.2,5.2,2.6,3.2,4.7
-10.8,5.2,2.1,4.1,5.1
-11.8,5.2,1.9,3.1,3.6
-11.3,5.2,1.3,2.1,3.9
-12.9,5.2,1.9,5.0,4.5
-21.0,5.2,2.6,4.1,5.3
-7.7,5.2,-9.5,4.4,4.8
-8.6,5.2,-0.3,2.9,5.2
