"('greedy_selection', 'moment_updating')","('q_value_sampling', 'moment_updating')"
-65.33333333333333,-80.0
-101.0,-61.0
-101.0,-80.0
-101.0,-87.0
-101.0,-61.333333333333336
-101.0,-70.0
-101.0,-73.0
-94.0,-68.33333333333333
-85.33333333333333,-63.0
-87.0,-80.0
-76.66666666666667,-73.0
-94.0,-60.0
-94.0,-56.0
-94.0,-66.0
-94.0,-80.0
-94.0,-73.0
-94.0,-74.0
-94.0,-73.0
-87.0,-73.0
-94.0,-73.0
-72.33333333333333,-80.0
-80.0,-59.0
-79.66666666666667,-51.333333333333336
-87.0,-73.0
-87.0,-55.666666666666664
-87.0,-37.0
-94.0,-67.0
-101.0,-52.666666666666664
-94.0,-58.333333333333336
-94.0,-52.0
-94.0,-66.0
-94.0,-73.0
-94.0,-59.0
-94.0,-61.0
-94.0,-66.0
-94.0,-59.0
-94.0,-62.0
-87.0,-59.0
-94.0,-66.0
-94.0,-61.0
-94.0,-59.0
-94.0,-51.0
-94.0,-77.0
-94.0,-61.333333333333336
-94.0,-40.0
-87.0,-69.66666666666667
-94.0,-59.0
-94.0,-41.666666666666664
-94.0,-48.333333333333336
-94.0,-66.0
-94.0,-52.0
-94.0,-59.0
-94.0,-29.666666666666668
-94.0,-45.0
-94.0,-59.0
-94.0,-49.0
-94.0,-45.0
-94.0,-39.0
-94.0,-52.0
-94.0,-59.0
-94.0,-66.0
-94.0,-47.333333333333336
-94.0,-66.0
-94.0,-59.0
-94.0,-34.333333333333336
-94.0,-58.333333333333336
-94.0,-48.666666666666664
-94.0,-58.333333333333336
-94.0,-49.333333333333336
-94.0,-59.0
-94.0,-66.0
-94.0,-59.0
-94.0,-42.333333333333336
-94.0,-73.0
-94.0,-59.0
-94.0,-38.0
-94.0,-52.0
-94.0,-66.0
-94.0,-59.0
-94.0,-43.666666666666664
-94.0,-49.0
-94.0,-56.333333333333336
-94.0,-50.666666666666664
-94.0,-40.333333333333336
-94.0,-59.0
-94.0,-45.0
-94.0,-55.333333333333336
-94.0,-66.33333333333333
-94.0,-47.666666666666664
-87.0,-52.0
-87.0,-45.0
-87.0,-59.0
-87.0,-52.0
-87.0,-54.0
-87.0,-57.333333333333336
-87.0,-52.0
-87.0,-52.333333333333336
-87.0,-60.666666666666664
-87.0,-46.333333333333336
-87.0,-43.0
-87.0,-59.0
