,0
639,-33
640,-41
641,-28
642,-40
643,-30
644,-38
645,-30
646,-39
647,-29
648,-27
649,-31
650,-33
651,-31
652,-36
653,-41
654,-31
655,-33
656,-32
657,-35
658,-31
659,-32
660,-37
661,-30
662,-43
663,-29
664,-29
665,-27
666,-29
667,-32
668,-37
669,-36
670,-29
671,-31
672,-36
673,-34
674,-31
675,-27
676,-36
677,-39
678,-31
679,-30
680,-34
681,-42
682,-48
683,-33
684,-32
685,-41
686,-33
687,-40
688,-31
689,-32
690,-32
691,-29
692,-27
693,-32
694,-32
695,-30
696,-40
697,-33
698,-114
699,-32
700,-33
701,-29
702,-30
703,-42
704,-32
705,-27
706,-33
707,-29
708,-31
709,-41
710,-29
711,-30
712,-35
713,-37
714,-33
715,-27
716,-27
717,-31
718,-30
719,-35
720,-31
721,-29
722,-110
723,-29
724,-29
725,-33
726,-33
727,-42
728,-38
729,-35
730,-36
731,-37
732,-29
733,-34
734,-33
735,-33
736,-29
737,-38
738,-29
739,-31
740,-32
741,-32
742,-33
743,-28
744,-33
745,-33
746,-27
747,-29
748,-42
749,-27
750,-29
751,-32
752,-32
753,-29
754,-31
755,-31
756,-30
757,-33
758,-27
759,-31
760,-31
761,-31
762,-31
763,-34
764,-37
765,-29
766,-33
767,-30
768,-41
769,-36
770,-35
771,-27
772,-31
773,-30
774,-29
775,-31
776,-31
777,-31
778,-39
779,-33
780,-32
781,-33
782,-27
783,-32
784,-27
785,-39
786,-27
787,-27
788,-108
789,-36
790,-29
791,-29
792,-39
793,-29
794,-30
795,-36
796,-37
797,-34
798,-27
799,-29
800,-28
801,-28
802,-32
803,-27
804,-32
805,-28
806,-27
807,-29
808,-34
809,-33
810,-27
811,-33
812,-37
813,-38
814,-31
815,-32
816,-31
817,-29
818,-31
819,-27
820,-29
821,-28
822,-29
823,-29
824,-35
825,-31
826,-29
827,-29
828,-31
829,-29
830,-34
831,-28
832,-32
833,-32
834,-40
835,-30
836,-29
837,-36
838,-27
839,-29
840,-33
841,-29
842,-27
843,-37
844,-33
845,-31
846,-32
847,-32
848,-27
849,-37
850,-33
851,-29
852,-27
853,-28
854,-29
855,-36
856,-29
857,-32
858,-32
859,-28
860,-32
861,-30
862,-43
863,-39
864,-29
865,-27
866,-34
867,-35
868,-30
869,-29
870,-27
871,-33
872,-29
873,-29
874,-27
875,-27
876,-29
877,-32
878,-29
879,-30
880,-30
881,-33
882,-29
883,-29
884,-29
885,-27
886,-38
887,-27
888,-34
889,-29
890,-33
891,-33
892,-109
893,-29
894,-28
895,-32
896,-28
897,-29
898,-32
899,-31
900,-27
901,-28
902,-30
903,-29
904,-33
905,-35
906,-34
907,-29
908,-33
909,-31
910,-27
911,-27
912,-39
913,-27
914,-29
915,-29
916,-29
917,-31
918,-29
919,-28
920,-28
921,-33
922,-31
923,-32
924,-33
925,-31
926,-31
927,-35
928,-34
929,-31
930,-31
931,-32
932,-29
933,-31
934,-35
935,-35
936,-32
937,-33
938,-28
939,-30
940,-28
941,-27
942,-35
943,-30
944,-29
945,-31
946,-31
947,-35
948,-27
949,-30
950,-29
951,-37
952,-29
953,-30
954,-35
955,-32
956,-31
957,-20
958,-37
959,-27
960,-29
961,-31
962,-29
963,-27
964,-28
965,-28
966,-27
967,-30
968,-29
969,-27
970,-34
971,-27
972,-28
973,-29
974,-31
975,-33
976,-31
977,-35
978,-29
979,-29
980,-27
981,-30
982,-39
983,-39
984,-28
985,-35
986,-29
987,-33
988,-33
989,-34
990,-27
991,-35
992,-30
993,-36
994,-30
995,-33
996,-33
997,-35
998,-30
999,-33
1000,-30
1001,-27
1002,-30
1003,-30
1004,-27
1005,-33
1006,-32
1007,-30
1008,-28
1009,-30
1010,-35
1011,-43
1012,-32
1013,-28
1014,-30
1015,-29
1016,-31
1017,-31
1018,-33
1019,-32
1020,-27
1021,-29
1022,-29
1023,-30
1024,-33
1025,-27
1026,-28
1027,-36
1028,-31
1029,-30
1030,-36
1031,-29
1032,-29
1033,-29
1034,-31
1035,-32
1036,-30
1037,-31
1038,-29
1039,-33
1040,-33
1041,-27
1042,-36
1043,-30
1044,-32
1045,-33
1046,-31
1047,-31
1048,-29
1049,-30
1050,-27
1051,-34
1052,-29
1053,-29
1054,-32
1055,-27
1056,-28
1057,-28
1058,-30
1059,-27
1060,-34
1061,-33
1062,-37
1063,-41
1064,-29
1065,-37
1066,-35
1067,-29
1068,-30
1069,-31
1070,-32
1071,-33
1072,-27
1073,-29
1074,-31
1075,-31
1076,-27
1077,-29
1078,-33
1079,-33
1080,-29
1081,-33
1082,-27
1083,-33
1084,-29
1085,-37
1086,-35
1087,-27
1088,-32
1089,-27
1090,-29
1091,-34
1092,-33
1093,-33
1094,-27
1095,-31
1096,-30
1097,-30
1098,-28
1099,-27
1100,-35
1101,-28
1102,-31
1103,-33
1104,-34
1105,-27
1106,-32
1107,-29
1108,-41
1109,-31
1110,-29
1111,-32
1112,-29
1113,-29
1114,-30
1115,-36
1116,-35
1117,-27
1118,-33
1119,-31
1120,-31
1121,-29
1122,-31
1123,-27
1124,-36
1125,-29
1126,-33
1127,-32
1128,-29
1129,-29
1130,-29
1131,-28
1132,-36
1133,-32
1134,-35
1135,-30
1136,-27
1137,-34
1138,-34
1139,-30
1140,-30
1141,-35
1142,-31
1143,-27
1144,-29
1145,-28
1146,-30
1147,-30
1148,-29
1149,-30
1150,-34
1151,-31
1152,-27
1153,-29
1154,-31
1155,-33
1156,-34
1157,-31
1158,-27
1159,-29
1160,-30
1161,-32
1162,-29
1163,-35
1164,-27
1165,-35
1166,-29
1167,-30
1168,-27
1169,-29
1170,-33
1171,-23
1172,-27
1173,-36
1174,-35
1175,-30
1176,-29
1177,-35
1178,-28
1179,-29
1180,-29
1181,-29
1182,-33
1183,-27
1184,-27
1185,-29
1186,-31
1187,-30
1188,-37
1189,-37
1190,-30
1191,-31
1192,-29
1193,-33
1194,-27
1195,-27
1196,-27
1197,-27
1198,-31
1199,-27
1200,-29
1201,-27
1202,-29
1203,-30
1204,-32
1205,-27
1206,-32
1207,-29
1208,-28
1209,-27
1210,-31
1211,-29
1212,-32
1213,-32
1214,-27
1215,-31
1216,-31
1217,-27
1218,-30
1219,-31
1220,-33
1221,-27
1222,-33
1223,-28
1224,-27
1225,-27
1226,-32
1227,-30
1228,-30
1229,-41
1230,-27
1231,-29
1232,-30
1233,-30
1234,-42
1235,-29
1236,-37
1237,-31
1238,-32
1239,-31
1240,-27
1241,-28
1242,-36
1243,-33
1244,-32
1245,-29
1246,-27
1247,-31
1248,-40
1249,-34
1250,-33
1251,-40
1252,-37
1253,-30
1254,-36
1255,-28
1256,-29
1257,-29
1258,-28
1259,-28
1260,-34
1261,-31
1262,-30
1263,-33
1264,-29
1265,-111
1266,-29
1267,-27
1268,-31
1269,-28
1270,-27
1271,-29
1272,-27
1273,-31
1274,-30
1275,-35
1276,-27
1277,-27
1278,-36
1279,-31
1280,-33
1281,-39
1282,-31
1283,-32
1284,-33
1285,-29
1286,-32
1287,-32
1288,-35
1289,-34
1290,-28
1291,-27
1292,-34
1293,-38
1294,-29
1295,-31
1296,-31
1297,-27
1298,-31
1299,-29
1300,-30
1301,-35
1302,-33
1303,-31
1304,-27
1305,-33
1306,-30
1307,-30
1308,-36
1309,-27
1310,-28
1311,-32
1312,-32
1313,-29
1314,-27
1315,-29
1316,-27
1317,-36
1318,-27
1319,-31
1320,-33
1321,-41
1322,-27
1323,-28
1324,-30
1325,-28
1326,-31
1327,-31
1328,-28
1329,-27
1330,-27
1331,-29
1332,-34
1333,-28
1334,-28
1335,-29
1336,-32
1337,-105
1338,-27
1339,-27
1340,-27
1341,-31
1342,-29
1343,-29
1344,-30
1345,-35
1346,-27
1347,-29
1348,-34
1349,-28
1350,-37
1351,-39
1352,-31
1353,-30
1354,-30
1355,-31
1356,-36
1357,-33
1358,-28
1359,-37
1360,-27
1361,-36
1362,-29
1363,-30
1364,-27
1365,-31
1366,-29
1367,-36
1368,-28
1369,-35
1370,-32
1371,-33
1372,-36
1373,-29
1374,-28
1375,-35
1376,-31
1377,-29
1378,-28
1379,-34
1380,-31
1381,-29
1382,-32
1383,-27
1384,-33
1385,-29
1386,-37
1387,-32
1388,-28
1389,-29
1390,-32
1391,-31
1392,-29
1393,-33
1394,-31
1395,-31
1396,-30
1397,-31
1398,-28
1399,-29
1400,-29
1401,-33
1402,-27
1403,-30
1404,-29
1405,-29
1406,-34
1407,-29
1408,-27
1409,-29
1410,-36
1411,-29
1412,-33
1413,-30
1414,-27
1415,-30
1416,-33
1417,-27
1418,-30
1419,-33
1420,-23
1421,-30
1422,-33
1423,-27
1424,-29
1425,-28
1426,-33
1427,-33
1428,-29
1429,-31
1430,-27
1431,-27
1432,-29
1433,-27
1434,-30
1435,-32
1436,-29
1437,-29
1438,-30
1439,-36
1440,-31
1441,-29
1442,-27
1443,-27
1444,-29
1445,-30
1446,-29
1447,-33
1448,-28
1449,-35
1450,-34
1451,-30
1452,-27
1453,-28
1454,-32
1455,-28
1456,-33
1457,-27
1458,-28
1459,-29
1460,-29
1461,-31
1462,-34
1463,-29
1464,-29
1465,-29
1466,-42
1467,-27
1468,-29
1469,-32
1470,-30
1471,-30
1472,-35
1473,-31
1474,-30
1475,-29
1476,-29
1477,-28
1478,-32
1479,-34
1480,-27
1481,-30
1482,-29
1483,-32
1484,-31
1485,-28
1486,-29
1487,-30
1488,-27
1489,-30
1490,-31
1491,-35
1492,-33
1493,-31
1494,-33
1495,-32
1496,-29
1497,-35
1498,-30
1499,-31
1500,-40
1501,-28
1502,-33
1503,-30
1504,-31
1505,-28
1506,-31
1507,-36
1508,-33
1509,-34
1510,-27
1511,-31
1512,-29
1513,-29
1514,-33
1515,-29
1516,-36
1517,-35
1518,-37
1519,-31
1520,-27
1521,-32
1522,-30
1523,-35
1524,-30
1525,-33
1526,-33
1527,-31
1528,-35
1529,-30
1530,-30
1531,-31
1532,-31
1533,-33
1534,-28
1535,-27
1536,-113
1537,-27
1538,-29
1539,-44
1540,-112
1541,-33
1542,-29
1543,-29
1544,-29
1545,-28
1546,-31
1547,-31
1548,-31
1549,-29
1550,-33
1551,-32
1552,-27
1553,-28
1554,-27
1555,-27
1556,-37
1557,-31
1558,-31
1559,-29
1560,-29
1561,-31
1562,-28
1563,-29
1564,-27
1565,-33
1566,-27
1567,-30
1568,-37
1569,-27
1570,-29
1571,-27
1572,-35
1573,-29
1574,-29
1575,-31
1576,-53
1577,-29
1578,-31
1579,-31
1580,-27
1581,-30
1582,-32
1583,-30
1584,-29
1585,-32
1586,-35
1587,-27
1588,-29
1589,-31
1590,-31
1591,-28
1592,-30
1593,-27
1594,-33
1595,-28
1596,-37
1597,-27
1598,-38
1599,-27
1600,-31
1601,-41
1602,-27
1603,-32
1604,-29
1605,-27
1606,-27
1607,-29
1608,-30
1609,-29
1610,-29
1611,-30
1612,-29
1613,-27
1614,-29
1615,-28
1616,-29
1617,-27
1618,-37
1619,-31
1620,-32
1621,-29
1622,-29
1623,-33
1624,-29
1625,-30
1626,-29
1627,-37
1628,-29
1629,-27
1630,-33
1631,-35
1632,-32
1633,-30
1634,-31
1635,-32
1636,-29
1637,-27
1638,-29
1639,-38
1640,-33
1641,-27
1642,-32
1643,-30
1644,-31
1645,-27
1646,-31
1647,-29
1648,-33
1649,-27
1650,-29
1651,-33
1652,-27
1653,-33
1654,-28
1655,-34
1656,-34
1657,-29
1658,-29
1659,-31
1660,-33
1661,-29
1662,-29
1663,-34
1664,-30
1665,-29
1666,-33
1667,-28
1668,-29
1669,-33
1670,-32
1671,-29
1672,-29
1673,-37
1674,-31
1675,-29
1676,-29
1677,-28
1678,-31
1679,-29
1680,-27
1681,-34
1682,-29
1683,-30
1684,-29
1685,-27
1686,-28
1687,-35
1688,-32
1689,-29
1690,-29
1691,-33
1692,-28
1693,-33
1694,-27
1695,-29
1696,-29
1697,-30
1698,-30
1699,-28
1700,-29
1701,-30
1702,-33
1703,-27
1704,-40
1705,-27
1706,-32
1707,-34
1708,-27
1709,-27
1710,-31
1711,-31
1712,-28
1713,-30
1714,-32
1715,-30
1716,-33
1717,-31
1718,-29
1719,-27
1720,-27
1721,-28
1722,-29
1723,-31
1724,-28
1725,-30
1726,-32
1727,-27
1728,-40
1729,-29
1730,-34
1731,-33
1732,-29
1733,-31
1734,-31
1735,-33
1736,-30
1737,-31
1738,-27
1739,-30
1740,-31
1741,-35
1742,-27
1743,-27
1744,-31
1745,-29
1746,-28
1747,-37
1748,-29
1749,-28
1750,-31
1751,-35
1752,-27
1753,-40
1754,-28
1755,-31
1756,-34
1757,-29
1758,-30
1759,-33
1760,-28
1761,-31
1762,-27
1763,-29
1764,-27
1765,-32
1766,-29
1767,-31
1768,-33
1769,-31
1770,-29
1771,-29
1772,-33
1773,-31
1774,-32
1775,-33
1776,-34
1777,-27
1778,-28
1779,-30
1780,-27
1781,-29
1782,-33
1783,-29
1784,-33
1785,-29
1786,-36
1787,-30
1788,-30
1789,-29
1790,-29
1791,-34
1792,-29
1793,-31
1794,-31
1795,-29
1796,-36
1797,-28
1798,-28
1799,-30
1800,-33
1801,-27
1802,-29
1803,-34
1804,-31
