"('greedy_selection', 'moment_updating')","('q_value_sampling', 'moment_updating')","('myopic_vpi_selection', 'moment_updating')"
32.8,48.44,36.56
29.56,56.8,37.56
28.8,53.36,34.0
31.0,47.28,35.28
29.24,49.04,33.4
34.24,51.84,36.36
31.04,55.4,32.44
30.56,45.64,33.64
31.88,51.36,40.92
30.6,51.84,34.72
30.88,53.32,41.68
30.52,56.0,41.44
30.44,52.12,40.0
32.6,56.56,33.16
29.68,48.84,36.24
28.28,52.96,38.44
32.32,54.52,41.12
30.96,49.4,38.12
27.8,54.16,33.6
28.44,55.08,38.08
27.76,59.28,37.64
30.68,55.2,43.76
26.36,52.44,33.72
29.6,51.48,36.04
30.36,57.52,34.28
27.16,49.04,31.8
32.04,53.0,33.8
29.64,50.56,38.68
30.32,56.92,36.28
31.2,46.12,34.68
36.2,58.56,38.68
28.88,49.2,37.12
29.16,58.76,34.32
34.0,54.76,37.36
31.92,55.68,36.0
26.08,65.32,35.24
28.76,50.04,41.2
31.16,52.96,33.4
31.16,61.16,35.64
32.72,54.28,33.12
30.76,51.88,34.84
30.04,59.4,39.56
31.64,53.2,38.08
34.08,46.76,38.72
31.44,55.56,37.0
33.72,52.4,35.84
26.24,54.72,41.16
32.16,62.4,40.92
32.76,57.04,36.04
27.36,53.16,34.16
30.68,50.12,35.04
28.8,55.16,33.4
34.04,59.0,38.0
28.8,56.12,38.8
30.48,60.44,33.44
28.44,59.76,34.64
34.76,49.88,42.2
31.48,55.32,38.04
27.6,56.16,35.36
29.16,50.32,36.32
32.0,59.44,38.6
28.08,51.88,37.52
27.44,55.04,42.84
32.24,54.24,41.76
28.2,59.0,35.64
30.4,52.76,35.2
29.24,53.12,35.52
29.24,51.04,37.24
34.68,61.76,38.96
27.12,69.2,34.08
31.28,64.24,35.92
28.08,54.68,34.64
34.88,48.48,38.64
32.32,55.68,34.52
27.16,52.16,37.6
31.44,57.64,33.28
33.16,57.16,37.48
31.64,48.0,35.24
31.0,61.68,37.72
30.64,54.6,32.6
28.92,51.64,37.24
31.84,62.48,37.24
32.28,63.68,36.92
30.72,58.84,36.04
34.48,53.76,38.68
32.52,53.84,34.56
32.32,56.0,35.36
31.24,51.36,37.8
27.4,55.84,35.72
27.36,56.4,33.6
36.52,58.44,33.36
33.8,51.84,36.04
29.2,64.4,38.28
32.0,58.68,40.0
33.6,56.44,41.88
27.04,52.88,37.76
32.2,58.48,35.2
33.76,53.52,36.64
29.72,48.6,35.76
29.2,53.36,39.72
30.28,52.72,39.88
30.16,54.2,36.8
26.56,55.88,37.52
30.04,58.24,41.72
30.32,56.28,35.32
31.4,55.48,33.84
31.44,57.32,35.08
30.92,58.28,33.96
30.6,62.6,35.44
31.64,62.56,36.08
28.28,58.88,37.92
28.52,61.0,40.08
28.08,55.36,36.04
27.0,51.0,33.72
31.88,55.0,35.84
30.04,51.4,38.08
27.4,60.36,35.64
29.2,60.64,39.36
31.24,52.64,33.96
32.28,54.72,35.64
29.92,55.24,34.04
29.36,59.24,33.32
30.12,54.24,36.08
37.08,60.24,46.12
29.32,57.4,37.48
