1.0,1.25,1.5,1.75,2.0,2.25,2.5,2.75,3.0,4.0
300.22,290.72,321.68,292.72,306.68,286.5,288.56,306.34,292.5,295.56
314.44,310.26,330.46,309.46,307.72,298.54,296.94,303.64,314.22,306.3
309.32,305.08,309.34,306.92,310.52,304.46,306.56,312.92,307.06,306.92
308.4,304.0,321.04,307.18,319.98,306.42,304.04,311.84,318.52,313.78
317.46,295.88,317.84,316.72,314.3,310.9,305.38,309.56,309.6,318.16
307.16,304.68,327.48,317.68,320.8,306.7,311.86,320.62,307.74,310.48
310.1,313.0,328.8,316.32,314.92,305.16,301.7,315.88,306.82,310.98
314.92,305.48,326.72,321.38,315.68,315.14,313.22,311.78,311.72,316.34
319.92,308.72,336.82,313.56,319.94,307.32,298.36,319.86,328.92,318.32
319.6,308.1,327.46,327.8,315.46,307.66,305.54,322.0,313.68,320.76
314.28,313.9,316.66,318.76,317.06,316.98,315.62,314.68,320.22,309.58
323.64,314.88,331.14,327.04,311.48,309.48,312.22,315.38,317.04,316.46
315.84,311.98,321.0,315.24,327.36,306.02,308.44,320.66,313.16,323.92
316.68,311.24,332.22,315.36,322.88,313.38,306.44,317.64,326.42,319.78
315.0,311.06,320.62,324.56,330.68,321.92,316.2,332.94,328.56,313.66
321.1,315.2,339.54,326.2,323.28,319.6,315.22,323.5,330.0,328.2
324.76,317.04,325.02,317.32,327.12,310.52,311.74,328.78,330.84,328.0
320.98,317.62,340.32,326.86,320.16,313.82,314.64,322.84,340.46,330.76
319.5,317.62,324.08,333.58,332.66,320.56,318.84,329.96,328.42,338.12
323.84,312.0,340.44,319.64,318.38,319.2,316.78,322.58,334.2,316.86
316.78,321.48,331.2,328.5,330.72,314.78,327.02,332.58,333.52,326.96
324.82,320.3,339.84,328.64,332.56,318.2,336.84,329.36,344.96,317.58
331.48,327.6,336.3,328.72,334.54,318.08,323.28,339.56,337.08,334.18
328.04,323.3,340.14,340.98,345.82,324.9,326.96,326.74,343.14,328.66
324.62,320.84,342.16,332.9,332.9,321.14,341.22,342.06,342.16,326.7
324.62,322.84,330.86,346.44,333.84,322.98,338.64,335.0,338.46,334.64
349.66,328.52,345.24,348.24,340.18,326.26,327.08,337.04,358.9,344.7
331.96,324.66,334.98,336.52,344.62,332.78,325.08,336.56,363.9,341.98
348.16,339.32,336.12,338.08,350.66,328.98,346.52,344.72,358.84,339.78
332.74,333.42,351.88,331.36,336.08,336.4,329.86,352.44,355.64,341.48
331.84,336.7,333.2,357.12,351.78,328.4,346.46,353.64,393.76,353.22
337.76,334.6,355.56,349.76,346.24,345.08,331.52,346.28,360.3,353.24
343.18,338.44,368.66,350.12,357.84,337.52,327.66,364.24,344.92,350.2
359.26,342.26,367.14,353.32,365.38,346.3,341.98,358.22,382.18,348.68
346.52,351.52,365.54,358.96,371.74,352.42,351.48,361.66,363.42,336.46
348.02,355.18,363.74,343.68,375.26,338.92,355.32,370.74,379.16,348.02
357.78,339.48,372.44,350.68,361.78,348.18,359.88,370.86,380.2,357.12
357.56,362.66,358.64,373.8,355.84,348.4,352.78,361.24,355.8,356.34
357.28,357.42,377.74,376.68,380.78,347.8,381.66,365.18,376.58,361.44
363.26,356.48,372.86,373.6,358.96,352.78,358.38,368.58,373.92,363.02
363.62,354.4,376.36,376.6,360.3,357.72,350.12,366.74,377.28,359.7
364.76,353.02,395.1,392.42,382.78,366.12,379.6,370.4,385.96,363.52
367.64,371.02,391.18,378.1,399.32,364.68,359.8,387.46,379.62,376.18
374.08,362.68,382.86,384.48,377.74,368.68,353.44,395.78,378.88,386.1
370.76,366.78,397.26,400.24,372.56,371.22,360.82,381.58,388.48,376.22
362.18,372.14,391.16,409.68,385.46,375.04,370.84,387.42,398.0,369.48
383.1,388.62,393.08,382.66,368.46,381.06,373.24,385.78,394.08,375.36
391.9,376.58,402.22,409.78,360.66,366.94,393.84,383.72,391.96,382.24
377.3,372.16,384.26,386.68,391.8,396.06,365.26,387.82,417.6,398.3
368.0,381.82,423.68,394.74,373.7,377.2,374.34,386.74,415.64,374.36
386.18,376.5,403.32,401.74,404.02,386.96,405.96,410.72,391.58,387.76
368.76,387.22,396.18,374.5,364.9,381.6,370.6,408.92,412.88,367.9
379.8,399.7,421.48,388.14,388.14,378.44,378.36,387.58,387.34,386.84
377.46,384.36,406.84,432.88,410.58,384.98,392.04,393.92,426.6,388.46
400.74,405.74,421.84,424.14,402.64,375.74,395.2,391.0,402.32,385.4
415.74,385.46,426.26,401.02,377.78,376.58,400.06,387.18,431.4,369.54
402.96,389.6,416.32,413.1,414.18,395.56,407.64,407.36,412.84,394.14
372.02,388.98,427.98,411.36,418.44,394.02,379.86,414.02,390.9,381.76
417.86,410.44,419.3,420.16,394.14,386.08,409.9,418.32,433.48,381.74
418.52,394.98,435.42,442.88,407.8,415.18,376.52,394.98,435.9,394.4
382.7,414.16,425.58,418.9,398.98,382.4,384.74,388.06,422.18,397.98
399.38,385.7,441.3,445.7,409.22,381.7,405.18,417.12,434.86,400.66
395.96,429.52,429.2,404.84,415.12,389.98,419.04,419.14,402.4,400.46
403.7,403.96,444.12,420.3,447.86,424.56,403.74,414.78,437.5,401.18
404.24,420.36,435.4,430.02,422.08,397.0,379.98,403.84,435.78,396.12
411.64,465.5,439.78,419.04,422.32,395.52,451.04,405.2,451.78,381.18
410.12,414.12,453.24,406.7,429.8,373.3,385.26,412.36,408.04,389.38
401.1,401.04,439.14,407.0,427.5,384.22,427.78,452.0,414.42,413.0
408.6,435.48,427.12,422.7,456.82,380.56,393.94,434.68,417.14,422.64
396.72,407.84,453.76,433.8,438.14,394.36,411.94,398.1,457.88,412.3
436.42,435.04,440.06,418.9,429.52,389.92,434.1,451.32,455.0,421.82
386.34,407.42,432.38,442.66,409.86,394.96,434.46,432.54,408.46,410.1
413.44,416.42,423.1,431.52,459.88,392.94,388.8,426.64,422.32,405.06
392.02,417.68,443.02,443.82,455.72,388.96,415.3,444.14,432.2,413.22
403.42,451.34,447.24,446.64,443.2,396.64,425.12,448.1,420.6,433.84
412.02,444.98,436.06,459.06,446.06,391.72,426.96,465.02,440.94,432.4
