19.6,34.08,29.36,30.48,25.92,34.56
22.64,28.48,26.4,45.04,25.2,37.76
20.16,27.2,39.52,37.68,31.92,47.52
27.04,35.92,26.56,33.12,29.04,33.84
32.72,24.24,26.8,27.04,24.8,33.36
23.68,32.16,24.32,32.24,33.44,39.44
22.32,25.28,25.12,29.12,22.08,26.08
24.88,33.84,25.28,25.68,26.24,33.52
24.0,28.56,27.6,34.88,28.24,47.52
29.12,26.32,28.32,29.36,24.08,47.84
22.64,29.84,29.6,31.44,29.28,44.64
24.8,36.4,22.8,36.0,23.84,44.32
19.2,42.0,24.24,33.12,26.32,43.28
24.88,27.6,24.08,33.92,34.56,39.76
22.8,22.08,28.8,36.24,28.08,41.28
29.84,29.84,26.96,30.64,20.0,51.6
38.0,29.84,40.4,30.64,28.64,52.8
26.88,34.96,29.12,35.84,35.92,55.68
25.36,21.68,24.24,32.88,33.36,46.8
21.52,31.6,23.44,34.4,18.8,34.88
28.64,30.48,32.56,29.28,37.76,37.36
34.08,37.84,24.56,38.0,31.36,40.8
30.24,31.12,25.52,34.88,35.6,35.12
21.12,24.16,25.04,40.96,24.16,38.32
30.8,24.8,28.16,32.64,22.4,27.28
23.92,23.52,27.44,26.24,20.16,33.52
26.8,41.36,31.92,23.28,26.0,49.84
23.76,25.76,25.36,31.52,33.44,44.72
23.2,28.96,25.6,31.44,35.44,37.04
22.32,24.8,25.36,38.96,33.36,40.72
26.4,26.24,24.4,28.96,31.28,35.28
20.72,24.24,25.12,39.92,26.96,53.84
24.96,42.88,34.16,26.72,28.16,46.16
21.36,39.44,26.56,28.24,34.96,39.52
25.28,29.2,27.84,27.12,25.6,47.36
19.44,20.56,31.04,35.44,29.52,48.56
22.88,23.6,32.0,33.2,20.64,45.04
21.68,29.44,27.36,30.16,22.24,40.48
34.48,28.96,28.72,22.08,18.16,57.68
26.64,23.04,23.76,34.24,31.28,42.96
26.8,37.36,24.88,28.56,21.44,43.36
28.56,30.0,26.4,33.2,20.32,43.92
24.08,29.76,26.32,40.8,23.52,44.16
19.92,24.08,28.96,32.24,32.0,59.12
22.56,25.68,27.12,38.64,21.44,42.88
31.44,29.12,26.32,39.84,35.28,39.6
25.6,31.36,37.36,29.76,20.96,37.36
27.6,41.04,24.96,34.08,33.68,41.44
30.72,20.4,27.36,40.4,28.24,50.88
22.32,25.52,26.32,27.36,30.64,37.52
21.04,20.32,28.72,28.96,25.6,45.04
29.84,22.08,31.6,39.28,31.12,54.4
20.72,25.36,28.56,22.48,29.28,44.24
21.84,23.92,26.96,36.0,35.92,33.68
20.16,35.2,24.8,31.76,37.44,48.4
23.6,28.08,27.76,33.04,22.16,36.48
22.96,36.88,25.6,41.84,27.92,41.84
32.08,26.08,28.0,33.92,36.4,62.4
28.32,33.52,38.72,37.2,27.68,36.64
29.2,32.4,27.92,39.52,30.0,51.68
24.48,23.76,25.44,26.16,23.84,39.28
20.32,27.44,24.0,44.16,23.2,34.88
26.48,29.36,24.8,40.48,25.2,53.6
19.04,26.08,24.96,39.44,22.72,50.4
27.76,21.92,24.96,27.2,24.32,52.64
36.0,24.72,25.44,26.56,20.4,26.96
43.36,26.48,27.6,34.24,32.08,40.48
28.16,22.32,37.6,37.12,31.84,50.56
31.44,33.12,24.96,33.28,25.92,28.88
31.28,25.68,28.72,31.68,21.44,40.0
32.0,27.84,25.36,34.56,29.6,58.0
43.12,29.04,24.8,31.92,39.04,29.6
24.08,25.44,27.76,48.4,32.88,30.8
25.92,36.32,40.72,32.56,22.32,29.36
36.48,32.8,29.12,28.64,19.52,37.28
23.12,22.32,24.64,32.4,27.04,34.4
26.0,33.6,26.56,28.08,18.32,45.28
39.04,22.88,29.28,37.2,26.4,39.84
29.2,27.52,26.32,34.32,24.16,43.52
27.36,23.52,30.24,34.64,29.44,50.64
21.04,25.44,27.68,31.84,24.88,37.6
23.92,25.12,21.04,33.52,24.64,28.72
20.64,36.88,29.6,37.84,23.36,35.76
42.4,38.56,29.92,36.24,33.76,38.24
23.28,32.08,28.88,38.8,28.64,41.76
23.6,24.8,27.44,30.08,21.76,42.24
21.92,47.12,26.24,29.52,38.48,37.12
28.0,22.96,23.44,31.6,33.2,36.0
24.4,29.12,25.44,45.92,37.28,35.6
23.68,24.4,23.68,33.6,29.44,36.56
29.04,25.04,31.36,28.24,21.2,27.36
19.76,29.28,34.24,33.36,30.56,57.28
21.68,33.44,26.96,26.64,22.4,40.0
28.64,25.04,24.8,42.88,27.28,50.08
28.48,26.72,40.32,38.24,24.16,46.08
22.0,27.12,34.88,25.36,21.68,53.52
36.48,24.72,27.12,30.32,29.44,31.68
28.64,23.28,26.8,47.84,45.44,51.44
33.44,23.6,29.12,25.28,19.92,35.44
27.84,28.32,27.36,36.48,38.72,34.96
21.36,24.72,24.96,45.04,22.48,52.96
32.0,28.16,26.24,34.0,25.6,39.28
22.48,24.8,25.44,30.08,29.12,29.6
26.08,29.2,24.88,38.0,31.44,43.12
30.24,21.68,25.84,45.12,24.16,34.64
33.44,23.28,26.32,35.12,23.92,36.48
34.48,28.32,28.64,30.96,34.48,34.4
32.16,31.44,28.8,29.84,31.92,40.24
20.88,25.76,22.96,29.52,29.52,32.4
31.52,24.8,30.8,30.56,18.16,42.0
28.56,25.44,26.88,35.52,32.48,57.04
28.24,37.76,30.48,37.68,24.48,35.28
20.8,26.96,31.44,36.0,27.68,43.36
20.16,28.64,28.48,34.96,24.08,42.48
21.76,33.2,37.2,31.6,23.68,46.96
26.24,31.84,27.36,30.0,33.2,52.48
26.16,22.48,28.64,29.36,32.4,44.56
31.44,26.08,30.56,44.56,23.6,33.36
20.32,24.88,27.76,32.32,41.12,32.16
22.48,23.52,27.2,32.72,37.28,50.72
21.84,43.52,34.48,32.72,31.44,38.8
22.4,23.6,27.44,27.52,23.36,36.0
26.4,33.36,31.2,41.36,24.96,36.16
23.6,25.36,31.44,42.56,30.96,30.88
22.72,32.16,27.44,25.52,25.84,45.12
21.6,24.64,25.76,42.72,24.8,29.44
23.2,24.96,28.64,36.0,27.52,50.48
21.92,27.2,25.04,27.6,42.48,69.12
22.88,25.52,26.48,29.12,28.96,33.12
21.28,37.76,26.4,28.48,26.32,54.4
31.76,31.84,27.36,37.84,25.68,46.16
21.52,31.6,33.28,46.64,43.28,43.76
27.44,31.12,27.12,29.92,30.8,44.64
20.56,23.76,37.76,32.0,22.0,42.96
23.52,32.64,25.68,27.2,31.52,32.24
28.16,26.72,25.76,29.44,25.68,41.84
33.28,23.28,27.92,25.28,33.68,40.4
27.52,25.36,26.8,37.76,21.52,51.84
34.0,24.16,23.92,34.24,32.8,40.0
27.76,25.84,22.0,35.68,28.0,34.72
20.72,24.96,25.6,33.44,27.04,32.88
30.4,25.84,34.72,29.2,24.56,40.08
22.08,23.92,30.56,25.68,28.24,31.76
25.36,26.16,33.68,42.24,22.48,36.56
46.08,25.52,24.88,37.84,22.96,34.96
27.68,25.6,28.32,44.0,26.56,44.64
26.32,23.76,28.64,36.96,23.12,38.56
20.48,27.92,29.12,35.44,28.08,31.76
26.24,23.36,32.96,34.32,23.44,45.68
22.56,29.44,26.0,28.16,25.68,43.6
29.68,22.24,28.72,44.48,25.52,54.8
19.36,34.88,30.0,37.2,29.36,35.44
32.48,23.04,24.88,32.32,36.64,34.0
21.36,38.8,27.68,27.52,37.84,38.08
29.6,26.96,27.44,31.44,29.12,39.04
26.96,23.12,28.88,32.72,35.44,38.16
28.08,34.48,25.04,30.8,25.04,39.68
32.88,26.56,25.28,31.76,29.76,36.4
33.68,30.96,34.72,31.92,25.68,38.64
20.4,33.12,24.24,41.84,32.24,26.24
29.68,23.04,23.6,28.08,25.6,39.68
28.0,30.56,25.2,34.64,24.56,50.96
29.52,22.96,34.4,45.36,21.2,32.32
28.56,27.84,25.2,31.12,23.36,30.72
20.16,28.56,29.28,35.76,23.04,33.84
20.08,23.2,26.56,34.88,26.08,35.76
21.36,34.56,26.16,31.6,22.0,48.4
26.0,23.68,28.8,25.76,22.72,31.2
22.16,26.56,22.08,48.16,18.16,40.48
24.8,30.48,26.8,29.68,28.4,42.0
22.32,26.32,24.56,33.44,24.24,32.08
24.8,24.32,24.08,43.76,38.96,36.32
26.0,27.76,27.12,30.0,21.6,45.36
33.28,29.28,28.16,30.24,21.92,39.04
26.56,27.84,23.6,48.32,21.36,39.52
37.92,25.12,25.52,38.48,44.72,45.44
28.96,29.04,25.28,41.92,23.92,24.16
25.28,33.28,26.4,28.48,26.24,35.28
20.16,26.72,37.84,42.8,29.76,46.72
29.28,36.56,29.44,37.68,22.64,35.92
19.84,26.56,28.0,30.64,19.44,32.0
