"('greedy_selection', 'moment_updating')","('q_value_sampling', 'moment_updating')","('myopic_vpi_selection', 'moment_updating')"
19.6,42.8,19.6
50.8,27.2,50.8
21.2,57.6,21.2
27.6,62.4,27.6
18.8,55.6,18.8
18.8,31.2,18.8
43.2,50.0,43.2
29.6,49.6,29.6
23.6,22.8,23.6
20.8,37.6,20.8
20.4,60.0,20.4
19.2,42.0,19.2
28.8,37.2,28.8
24.0,60.0,24.0
22.0,55.2,22.0
30.0,50.8,30.0
16.8,48.4,16.8
38.0,59.6,38.0
19.6,46.8,19.6
34.4,34.4,34.4
20.0,28.0,20.0
19.6,48.8,19.6
37.6,24.0,37.6
28.4,27.2,28.4
53.6,84.0,53.6
20.4,39.2,20.4
28.0,41.6,28.0
18.4,34.4,18.4
28.0,50.8,28.0
23.6,42.0,23.6
21.2,42.0,21.2
18.0,52.8,18.0
19.6,43.6,19.6
34.8,37.2,34.8
19.2,32.4,19.2
21.2,24.8,21.2
20.4,55.6,20.4
28.8,19.2,28.8
36.0,32.4,36.0
23.2,38.4,23.2
32.0,24.4,32.0
18.8,29.2,18.8
28.0,49.2,28.0
21.6,55.6,21.6
24.8,48.0,24.8
30.4,43.2,30.4
21.2,62.0,21.2
36.0,35.6,36.0
26.0,34.4,26.0
28.0,32.4,28.0
21.6,44.4,21.6
19.6,49.2,19.6
37.6,45.6,37.6
42.0,67.2,42.0
21.2,52.0,21.2
19.6,39.6,19.6
24.4,50.4,24.4
32.0,25.2,32.0
19.2,31.2,19.2
20.0,28.0,20.0
36.0,33.2,36.0
32.8,57.2,32.8
21.2,44.8,21.2
20.0,60.4,20.0
29.2,66.8,29.2
21.6,32.0,21.6
17.2,36.4,17.2
20.4,58.8,20.4
22.4,49.2,22.4
23.2,51.2,23.2
56.0,56.4,56.0
18.0,58.4,18.0
22.8,43.2,22.8
19.6,34.4,19.6
18.8,40.8,18.8
15.6,48.0,15.6
30.8,54.4,30.8
20.8,27.2,20.8
43.2,48.0,43.2
22.0,51.2,22.0
45.2,36.8,45.2
44.8,38.0,44.8
20.0,29.2,20.0
27.2,48.4,27.2
21.6,38.0,21.6
35.2,34.4,35.2
26.4,48.8,26.4
50.4,38.4,50.4
20.4,39.6,20.4
18.8,42.8,18.8
36.8,58.8,36.8
19.2,35.2,19.2
28.4,43.2,28.4
23.6,37.2,23.6
23.6,57.2,23.6
26.8,92.0,26.8
17.6,53.6,17.6
24.8,48.8,24.8
24.4,48.8,24.4
24.4,41.6,24.4
20.4,65.6,20.4
40.0,26.4,40.0
21.6,49.6,21.6
30.0,33.6,30.0
17.6,36.0,17.6
20.0,48.8,20.0
36.8,30.4,36.8
20.4,26.4,20.4
34.8,47.6,34.8
20.8,28.4,20.8
20.4,23.6,20.4
25.2,27.2,25.2
23.2,58.0,23.2
20.0,38.8,20.0
43.2,35.6,43.2
24.4,38.4,24.4
20.0,48.8,20.0
35.6,46.0,35.6
21.2,42.0,21.2
37.2,42.8,37.2
38.8,47.6,38.8
21.6,50.4,21.6
20.8,43.2,20.8
18.0,36.8,18.0
20.4,51.2,20.4
22.0,42.8,22.0
38.4,49.6,38.4
30.4,29.2,30.4
22.8,30.8,22.8
21.6,60.8,21.6
20.0,55.2,20.0
22.8,66.8,22.8
27.6,40.0,27.6
20.0,44.0,20.0
30.8,38.4,30.8
26.8,47.6,26.8
