"(0.5, 1000, 'constant-epsilon', 0.1, 1)","(0.75, 1000, 'greedy', 0, 20)","(1, 1000, 'epsilon_greedy', 0.1, 5)","(0.75, 1000, 'constant-epsilon', 0.1, 5)","(1, 1000, 'boltzmann_exploration', 1.5, 10)"
44.84,66.56,46.24,53.72,60.92
39.2,62.04,45.92,47.32,59.64
44.88,63.4,42.92,46.96,56.88
38.08,65.28,46.72,53.76,57.36
39.2,63.28,44.16,48.36,57.68
45.24,63.56,42.28,44.92,55.64
38.56,58.6,44.52,42.32,52.96
43.72,68.52,42.92,42.88,64.64
42.6,68.52,44.8,52.56,60.44
35.4,60.44,42.28,46.4,54.84
35.12,63.16,47.12,47.52,55.84
32.48,68.76,44.16,57.88,60.28
42.52,67.08,49.2,44.56,58.92
38.68,65.32,41.52,47.6,59.48
38.76,61.48,39.4,44.48,57.88
38.64,63.92,44.6,49.92,61.8
41.24,65.68,45.24,49.92,59.56
40.12,65.04,47.04,48.76,58.0
46.92,67.04,49.08,51.56,66.6
41.0,61.56,45.04,45.72,59.68
33.52,60.32,40.4,45.16,58.08
44.64,69.08,50.68,49.68,64.52
40.44,70.52,46.28,47.2,64.72
47.76,68.24,48.0,54.68,64.76
44.8,68.6,51.68,52.0,65.08
39.88,65.92,44.44,53.16,59.4
45.24,68.48,48.92,52.48,59.36
38.84,62.36,40.88,41.08,59.8
36.88,58.68,48.6,46.24,52.84
43.36,60.6,42.44,40.32,55.96
49.64,65.88,49.16,53.96,61.2
40.44,52.72,40.64,38.44,52.2
41.84,54.76,38.36,43.52,46.84
43.48,62.32,42.76,41.52,58.76
44.36,54.2,40.88,50.2,51.96
46.88,71.28,46.4,48.64,63.76
45.96,68.32,51.16,47.84,60.0
44.88,65.0,44.28,44.36,57.08
46.64,66.16,41.76,48.44,59.28
47.56,70.24,42.68,51.84,56.8
40.88,64.44,43.56,50.8,52.52
44.8,65.92,43.4,45.28,54.96
37.56,58.32,37.24,46.12,51.6
45.8,65.88,44.68,48.36,60.24
41.04,55.2,35.56,44.0,48.96
41.28,58.56,39.6,44.96,50.4
43.2,71.04,41.88,44.76,61.64
43.0,62.32,45.36,47.12,51.76
40.72,59.72,42.88,45.28,52.44
45.12,71.68,49.88,50.2,69.72
41.8,67.48,49.36,48.76,55.68
50.16,72.96,48.24,47.6,65.92
45.56,68.8,46.44,41.44,63.44
41.72,58.84,44.92,49.28,52.84
39.96,56.48,43.28,47.32,50.4
42.44,66.8,47.76,50.12,60.36
46.32,63.48,48.12,49.48,55.32
37.92,60.6,44.52,44.48,55.36
46.6,62.08,43.64,42.6,55.0
43.92,68.4,44.88,42.28,63.24
37.52,58.32,47.72,42.24,55.12
37.68,55.64,42.48,42.72,53.08
42.8,62.96,42.56,48.96,57.04
43.8,58.6,46.04,43.16,53.28
40.6,53.24,39.88,45.32,46.44
41.96,57.12,42.6,48.68,52.12
46.84,62.64,46.24,48.28,56.64
35.76,59.92,42.32,40.4,55.48
45.64,58.76,43.56,42.72,52.92
42.32,54.56,45.84,39.56,50.72
39.84,66.08,44.4,45.48,55.72
40.56,60.48,42.8,43.36,52.48
46.48,67.96,50.32,50.56,58.84
50.32,75.8,52.76,51.92,63.48
41.24,58.68,38.8,42.04,54.48
39.28,58.0,42.04,44.6,53.12
43.04,69.96,49.6,45.76,56.72
39.4,67.76,47.76,47.72,59.28
41.64,71.92,43.88,46.48,65.08
44.56,61.36,50.6,49.96,54.56
40.12,55.12,39.44,43.16,51.28
43.56,65.8,51.88,48.2,60.56
45.48,65.16,48.56,42.4,58.28
46.72,69.32,50.6,49.28,61.12
39.16,57.28,45.04,38.16,52.92
47.64,68.48,50.92,50.16,61.88
40.88,59.52,47.24,49.68,54.6
40.08,62.64,47.32,48.32,57.08
40.44,58.32,38.88,44.32,55.24
47.4,66.56,49.56,50.04,57.72
42.68,65.64,50.6,44.8,59.68
46.24,65.32,46.76,47.32,55.72
46.48,67.68,47.28,46.88,60.24
42.08,67.64,49.12,50.8,58.96
40.92,59.88,46.72,43.88,55.68
50.76,59.84,45.8,50.52,52.84
45.48,66.96,41.52,48.68,55.28
50.36,71.48,47.72,49.6,63.8
42.12,63.56,41.64,41.28,56.88
39.88,68.76,48.84,50.36,63.4
51.44,67.36,46.76,48.24,65.12
46.08,64.68,47.88,49.64,62.64
51.56,67.36,50.08,46.84,65.24
42.32,64.04,44.28,42.76,57.56
36.52,56.44,44.08,45.08,51.68
43.32,70.32,51.28,54.96,67.28
48.8,66.96,55.4,51.04,58.4
48.04,66.72,46.16,48.76,60.16
46.36,62.12,48.36,45.16,54.68
41.48,72.28,50.24,47.24,65.76
47.92,64.92,49.24,45.72,58.44
49.96,70.0,48.96,51.12,61.64
47.52,63.76,51.6,48.88,61.96
49.88,68.72,50.68,44.64,62.92
48.84,66.52,49.92,51.2,64.4
48.56,60.44,51.44,52.2,58.84
46.16,64.4,53.8,50.84,61.2
44.12,66.32,55.64,54.44,63.48
47.84,60.24,46.32,37.72,57.8
46.16,57.24,49.96,44.52,56.76
41.96,57.4,47.0,41.04,54.68
42.04,56.96,45.88,42.04,56.6
47.56,55.88,43.8,46.0,49.48
52.04,68.2,56.48,50.92,58.88
49.72,68.36,50.32,47.68,59.76
49.76,65.76,55.36,43.72,59.88
43.88,64.0,49.96,52.0,61.52
51.04,60.6,51.52,49.08,52.44
41.88,60.48,46.64,42.68,55.08
42.92,58.32,42.6,39.12,51.12
50.88,70.52,47.84,44.76,65.32
44.68,62.88,47.0,45.12,58.04
44.12,61.88,44.56,43.2,59.84
44.16,66.4,47.04,49.24,61.08
42.6,65.08,44.68,44.92,59.36
46.84,67.08,53.24,53.0,57.92
50.96,72.64,49.72,51.32,66.56
46.36,67.12,43.04,42.68,62.24
52.44,65.24,42.72,41.96,57.84
47.32,59.08,48.4,46.32,53.92
52.48,64.52,43.48,44.72,59.52
40.56,65.48,49.44,43.36,62.16
45.64,61.36,48.72,45.72,58.4
43.08,52.08,38.96,40.92,46.88
45.92,59.28,36.12,43.48,53.64
48.84,67.56,42.84,45.48,62.24
41.84,60.24,44.8,42.6,51.52
42.04,58.52,40.08,38.0,51.4
49.52,68.92,50.2,49.68,59.44
48.44,71.92,46.56,49.32,64.8
43.88,66.8,47.88,42.64,56.24
43.36,63.8,43.68,41.72,54.08
44.0,64.64,40.32,44.88,59.4
39.64,62.64,35.84,40.68,57.88
38.68,56.28,42.52,38.92,50.08
42.72,67.36,46.68,45.32,55.8
44.92,65.04,48.64,44.76,56.72
39.6,60.76,43.76,43.36,50.72
45.0,60.88,42.6,44.68,52.4
47.92,67.24,44.0,44.92,59.92
45.72,65.56,47.72,45.04,60.08
42.6,55.64,42.96,40.64,50.96
44.56,67.92,50.0,42.68,58.52
41.0,61.24,50.44,40.52,52.12
42.84,67.68,49.44,45.64,55.44
45.52,68.0,48.16,45.6,57.92
36.04,58.8,37.68,37.72,49.84
44.8,65.24,48.8,44.6,59.84
46.8,65.2,49.56,46.72,59.16
46.76,65.8,51.28,48.12,56.48
42.56,65.44,49.16,45.6,59.8
42.12,64.8,45.2,47.32,61.08
41.16,62.2,46.56,46.36,55.0
45.32,64.76,43.28,44.88,56.16
45.6,67.28,46.96,50.6,57.6
46.76,58.72,43.16,35.48,57.24
42.72,67.96,43.72,37.64,59.84
46.24,65.24,46.0,43.36,57.8
38.44,55.24,42.44,40.6,53.68
43.56,60.4,46.2,43.04,54.04
51.08,62.32,43.76,42.6,51.6
44.6,62.36,49.44,45.24,51.96
50.72,61.08,49.12,43.32,52.04
36.56,60.36,40.44,44.52,53.2
46.24,70.64,48.64,47.32,58.76
50.04,63.8,51.56,48.4,59.88
48.68,62.72,47.64,42.84,51.44
45.84,67.84,45.24,44.8,59.32
44.96,55.56,42.6,41.72,51.68
43.4,61.64,48.44,47.48,56.96
50.8,64.76,51.44,48.32,57.64
48.76,60.28,42.88,41.8,54.64
51.08,64.52,48.44,45.12,55.36
50.64,56.96,48.28,48.36,50.12
42.96,54.4,42.76,37.24,50.76
35.88,58.6,38.48,36.88,50.36
43.84,54.8,40.24,38.0,51.76
48.44,72.0,49.6,45.28,56.84
40.84,59.96,40.08,39.16,54.92
42.68,62.6,43.08,44.92,53.76
41.04,59.04,43.36,43.84,53.8
54.64,71.88,53.52,46.76,64.8
44.6,64.56,55.04,48.84,55.48
52.08,66.04,46.68,48.12,55.36
47.48,57.08,50.56,47.52,51.8
56.16,70.16,49.76,51.76,56.48
50.52,64.0,45.52,46.48,57.72
40.68,60.76,38.12,42.88,58.52
45.72,57.2,37.44,45.28,47.84
45.52,60.6,43.72,46.76,56.4
46.84,58.32,42.12,39.08,54.32
45.68,62.68,43.64,45.2,55.52
48.96,70.8,52.8,52.24,64.72
48.08,74.64,41.24,40.08,68.28
45.72,60.0,38.72,35.28,55.84
57.6,70.56,54.6,56.72,66.76
48.0,64.08,44.72,45.72,58.28
50.32,64.92,45.4,42.52,62.48
50.24,67.88,48.0,51.0,62.96
51.08,69.12,53.28,49.16,59.32
43.4,61.68,39.2,42.48,56.56
61.04,69.36,53.8,57.68,63.6
49.92,68.72,45.24,42.08,63.8
47.36,55.44,43.28,41.64,54.56
47.76,69.72,53.04,53.56,61.04
42.52,62.68,40.56,40.84,55.56
43.88,59.0,40.56,43.96,55.52
48.24,63.32,42.52,45.64,56.68
52.4,75.92,50.6,49.72,66.8
42.4,59.48,38.12,41.68,58.92
50.04,69.84,51.4,46.48,62.52
51.52,70.28,51.04,46.24,65.32
44.36,58.16,46.88,43.64,52.6
43.6,64.8,43.08,45.88,58.2
55.52,72.8,54.76,48.96,66.36
44.8,51.96,46.08,41.6,50.76
52.52,73.2,43.36,39.52,67.92
46.04,61.24,43.2,48.4,57.12
48.84,68.72,45.16,43.84,58.24
45.68,57.56,43.84,45.0,55.0
38.2,57.84,37.52,36.88,52.08
46.04,61.76,44.24,39.44,56.16
49.2,63.84,43.76,45.72,60.88
56.64,66.96,47.6,49.24,61.48
43.16,60.04,45.88,43.96,57.64
40.72,62.64,42.48,41.12,59.68
45.12,63.16,41.4,37.48,58.32
46.2,64.04,46.44,44.28,60.12
50.12,67.16,45.2,47.0,61.4
44.72,59.4,43.56,42.64,55.96
43.24,58.96,37.2,41.32,56.4
45.04,64.24,44.04,40.72,58.48
45.52,66.68,40.48,46.84,64.52
43.6,64.64,49.56,42.52,61.52
46.36,65.16,43.0,41.92,60.52
52.12,62.16,45.52,43.64,52.4
52.76,68.6,51.08,42.8,61.48
46.68,63.12,43.0,38.56,62.96
50.72,61.88,45.76,46.72,56.48
46.84,63.2,45.4,41.8,57.52
45.12,54.48,41.92,43.24,52.04
52.36,60.32,44.36,45.32,58.12
47.32,61.84,43.64,45.12,53.24
43.44,57.36,44.88,40.08,53.4
47.16,59.92,42.64,39.96,53.72
38.84,54.28,36.12,31.76,54.68
51.28,67.88,49.16,45.6,64.84
42.76,64.16,44.76,46.8,61.4
46.72,68.24,44.84,46.64,65.52
47.4,67.48,54.84,44.56,64.76
44.92,61.12,44.08,39.84,56.2
47.52,61.56,48.12,45.88,60.68
42.76,56.64,42.92,39.24,49.24
45.2,63.4,44.36,41.88,56.24
48.04,64.16,54.16,47.12,58.96
44.24,61.8,45.2,43.88,55.28
45.56,61.04,46.6,40.52,57.88
47.56,74.08,47.64,49.48,66.76
47.36,73.08,47.2,45.88,61.24
43.8,64.92,41.56,44.04,60.24
49.8,62.68,39.76,37.92,54.44
45.48,57.8,43.84,40.68,50.2
47.52,72.12,41.12,44.2,61.44
47.2,62.8,45.2,49.4,59.16
44.52,59.56,44.36,44.64,55.76
50.8,66.28,46.28,47.32,57.8
44.68,57.8,38.88,43.08,53.56
48.72,65.24,40.56,44.88,58.16
49.44,63.28,44.96,49.08,58.36
44.8,61.68,42.64,46.6,58.68
48.04,63.8,44.2,48.04,61.6
43.92,63.48,45.32,53.44,58.36
50.12,63.24,40.44,50.24,60.0
46.88,58.16,40.8,43.92,54.52
47.12,62.36,42.28,48.44,58.28
46.16,57.96,43.88,46.28,52.32
45.76,56.56,47.36,45.36,54.4
47.92,65.24,45.68,47.08,64.48
47.48,59.6,45.96,48.72,56.6
50.04,67.08,54.84,57.8,60.48
47.28,64.68,43.96,44.88,62.6
49.96,66.8,55.84,50.08,65.48
52.2,63.28,46.12,51.2,59.84
43.56,63.48,48.84,49.88,58.4
46.44,66.36,48.84,48.04,59.44
53.84,63.04,46.2,53.96,58.32
48.72,63.04,55.6,54.56,57.16
45.48,67.16,48.72,54.96,59.84
47.24,62.6,46.76,48.32,57.96
48.04,66.16,48.52,48.84,61.24
48.88,68.96,53.0,51.8,61.08
42.72,50.12,41.76,44.32,47.12
46.4,76.84,56.92,51.12,67.0
46.28,58.52,44.96,44.84,54.08
45.32,63.44,48.0,46.24,59.04
48.76,71.36,48.0,52.96,67.16
38.48,54.72,39.24,42.52,47.6
51.88,69.32,48.0,44.76,66.0
49.88,61.76,53.56,48.08,59.84
46.32,66.52,55.0,53.12,62.8
43.6,63.92,44.04,48.36,60.6
49.4,66.4,52.44,53.6,61.68
41.44,61.84,45.08,51.12,56.72
42.44,60.2,46.48,46.2,58.04
47.12,61.84,49.84,49.28,59.4
43.68,61.28,48.88,49.44,59.08
49.36,59.32,52.56,46.04,54.28
51.2,66.12,54.6,52.52,61.28
41.36,57.72,43.64,41.8,55.72
54.28,64.12,47.4,51.0,60.44
52.28,74.76,49.76,54.0,69.52
50.04,67.44,50.8,54.16,58.88
49.4,64.72,48.72,45.48,61.36
46.8,59.84,38.92,44.76,56.56
45.12,64.68,50.88,47.92,61.44
57.28,78.12,55.08,56.4,73.88
50.04,62.04,51.36,52.44,62.36
54.0,69.0,53.96,59.44,66.56
48.28,61.64,54.12,50.44,56.76
44.92,59.8,44.92,42.96,53.36
48.48,59.84,43.2,48.2,58.24
