"(0, 1000, 'epsilon_greedy', 0.1, 10)","(0.75, 1000, 'greedy', 0, 5)","(1, 1000, 'greedy', 0, 10)","(1, 1000, 'epsilon_greedy', 0.1, 10)","(1, 1000, 'boltzmann_exploration', 1.5, 10)"
29.6,51.6,51.6,41.2,34.8
31.2,65.6,65.6,34.0,33.2
25.2,58.8,58.8,52.4,32.0
28.4,60.4,60.4,42.4,26.0
28.8,43.6,43.6,46.0,29.6
30.0,54.4,54.4,21.2,26.0
24.8,53.6,53.6,30.8,24.0
32.4,75.2,75.2,48.4,25.2
42.4,77.2,77.2,43.2,25.2
23.2,58.0,58.0,38.4,24.0
42.0,48.8,48.8,42.0,26.0
34.4,58.0,58.0,50.8,31.6
27.6,68.4,68.4,31.6,30.0
44.0,58.0,58.0,43.6,25.6
27.6,76.0,76.0,43.2,29.6
33.6,51.2,51.2,46.0,24.0
22.4,62.4,62.4,31.2,26.0
20.0,74.8,74.8,26.4,28.4
50.4,79.6,79.6,53.6,30.4
54.4,97.6,97.6,70.0,30.4
24.4,36.0,36.0,23.2,26.4
25.2,66.4,66.4,32.4,34.4
31.2,86.0,86.0,61.6,50.4
42.4,77.2,77.2,44.0,49.6
32.0,74.8,74.8,53.2,44.4
46.4,62.8,62.8,36.0,51.2
34.8,77.6,77.6,44.4,37.6
57.6,78.8,78.8,56.8,50.0
44.4,63.2,63.2,51.2,47.6
39.2,75.6,75.6,44.4,42.8
26.8,66.8,66.8,31.2,34.8
30.0,62.8,62.8,44.0,30.0
32.0,45.2,45.2,28.0,34.4
26.4,57.6,57.6,38.8,43.2
45.6,68.0,68.0,40.0,31.6
37.6,64.4,64.4,42.8,27.2
30.0,63.6,63.6,24.8,32.4
32.0,64.8,64.8,26.4,37.2
37.6,83.6,83.6,32.8,47.2
22.8,51.6,51.6,26.8,27.6
36.0,48.8,48.8,39.2,34.0
35.2,50.0,50.0,40.4,26.4
40.4,36.0,36.0,43.2,23.6
30.0,44.0,44.0,29.2,25.6
26.4,61.6,61.6,55.6,29.6
44.4,70.0,70.0,35.2,32.0
28.0,62.4,62.4,51.6,36.4
22.4,73.2,73.2,36.8,34.8
38.8,40.0,40.0,27.6,29.6
53.2,70.0,70.0,36.4,39.2
47.2,66.8,66.8,49.2,28.4
48.0,86.0,86.0,66.8,36.8
56.8,67.6,67.6,44.8,36.4
38.0,57.2,57.2,36.4,28.8
52.0,84.8,84.8,53.2,35.2
42.4,56.8,56.8,46.8,33.6
34.8,66.0,66.0,54.0,48.0
38.0,77.6,77.6,35.2,26.0
23.6,44.8,44.8,34.8,22.8
50.0,62.0,62.0,57.6,25.2
24.8,77.2,77.2,22.0,33.6
34.4,81.6,81.6,18.0,30.8
30.8,40.8,40.8,25.6,26.8
27.2,49.6,49.6,26.0,27.6
28.0,58.0,58.0,34.4,29.6
40.8,50.4,50.4,28.8,33.6
32.8,48.0,48.0,33.2,24.0
44.8,65.6,65.6,26.8,34.0
37.2,72.8,72.8,28.0,30.8
35.2,50.8,50.8,27.2,27.2
32.8,50.0,50.0,30.0,34.8
26.8,80.0,80.0,23.2,26.8
26.8,51.6,51.6,24.0,23.6
28.4,49.2,49.2,52.8,30.4
41.2,50.4,50.4,24.0,27.2
45.6,40.8,40.8,24.8,24.0
40.0,54.0,54.0,17.2,26.0
33.6,73.2,73.2,32.0,21.2
39.2,58.4,58.4,27.6,23.6
24.8,77.6,77.6,30.0,25.2
47.6,54.4,54.4,30.4,26.8
18.8,76.8,76.8,22.8,25.2
25.6,87.2,87.2,28.4,24.8
33.6,52.8,52.8,28.0,38.4
39.2,44.8,44.8,34.0,26.8
52.8,79.6,79.6,26.8,27.2
35.6,70.4,70.4,42.4,24.8
25.6,47.6,47.6,29.2,24.4
35.6,62.4,62.4,25.6,23.6
21.6,60.0,60.0,19.2,22.0
23.6,52.0,52.0,19.6,28.8
24.0,76.4,76.4,22.8,26.0
48.8,72.0,72.0,31.6,24.4
22.4,56.0,56.0,31.2,30.0
25.2,64.4,64.4,32.8,30.8
