0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4
275.44,259.12,265.28,289.28,258.08,255.84,241.28,270.24
334.98,328.64,331.52,335.48,332.28,333.72,320.08,330.16
329.88,325.38,336.1,327.56,338.16,325.64,328.76,343.5
331.24,326.12,330.7,336.54,339.82,329.86,321.04,350.92
344.68,326.82,332.76,339.72,337.52,326.2,324.68,334.0
331.32,326.44,336.6,343.78,332.08,323.26,323.76,328.32
343.8,330.14,328.48,330.88,323.64,333.08,321.4,333.34
331.32,331.78,331.78,335.82,340.24,329.92,324.24,338.34
340.28,325.5,338.32,343.02,328.36,329.78,326.24,329.64
335.26,326.72,331.22,328.76,326.44,328.42,320.18,337.54
340.34,320.8,347.58,326.64,326.04,324.18,328.88,328.88
322.44,327.5,335.88,324.92,324.02,329.98,322.64,343.56
327.32,321.94,337.36,330.32,325.44,325.06,335.66,333.36
336.04,338.94,326.22,335.4,344.28,319.8,338.74,359.94
328.98,327.42,325.74,339.2,331.34,326.96,323.52,330.38
336.34,330.88,337.64,338.18,340.46,329.76,325.86,329.06
327.46,327.0,338.36,332.3,336.52,332.92,326.8,341.42
327.24,331.54,331.92,352.14,328.12,351.96,321.06,336.6
335.28,357.54,340.9,347.52,327.14,322.76,330.16,342.2
331.24,323.0,328.32,338.26,339.76,329.78,323.66,334.52
335.78,325.28,334.38,349.86,334.7,328.06,316.26,336.3
328.88,325.78,339.76,350.38,328.26,334.46,319.46,332.2
325.86,333.86,339.46,339.86,331.94,322.6,324.94,334.78
342.4,327.18,331.24,342.08,347.62,320.3,327.52,339.64
358.28,326.22,332.26,339.34,337.5,326.96,334.56,342.0
348.9,331.3,343.3,328.26,335.2,319.66,328.7,336.24
328.28,333.6,341.86,337.56,333.34,325.66,324.0,329.36
334.52,326.12,346.82,342.22,339.0,342.08,327.56,332.26
327.18,327.74,335.74,338.42,341.16,323.08,331.36,349.74
338.52,327.76,327.32,337.56,326.14,321.26,316.08,336.62
342.56,325.36,331.74,334.36,333.72,325.66,329.3,330.04
341.72,328.66,349.58,337.66,336.94,325.16,330.3,328.18
331.96,346.96,331.46,333.38,336.7,331.0,323.8,330.9
