greedy,constant-epsilon,epsilon-greedy,boltzmann-exploration
29.32,31.32,28.04,33.24
32.48,31.68,30.64,31.4
28.44,34.68,31.8,30.48
30.48,33.92,31.08,30.4
30.28,36.56,29.84,32.92
27.56,33.16,29.72,32.04
26.4,31.32,28.52,30.88
32.12,34.6,33.44,32.32
34.32,30.76,30.2,31.48
31.52,32.32,30.24,34.68
30.04,38.68,31.28,30.16
29.64,32.96,32.44,32.28
30.96,34.28,29.52,32.12
29.12,35.88,28.72,32.96
30.76,39.16,35.56,31.44
33.12,35.28,28.88,30.96
30.92,40.28,38.32,30.92
31.84,36.2,31.32,32.6
36.96,35.12,29.76,30.56
36.36,32.88,37.64,31.04
30.6,35.72,32.36,32.2
28.4,35.36,33.56,30.64
30.24,32.72,34.36,32.04
33.84,35.92,29.68,33.92
26.76,35.32,36.56,32.84
31.44,38.92,28.44,31.6
30.48,33.48,30.36,32.28
30.12,35.56,31.36,30.8
30.88,37.76,36.36,32.72
30.36,36.36,28.84,31.96
33.2,34.52,32.64,33.0
29.84,34.0,31.56,31.52
30.68,36.6,36.24,31.96
34.64,32.56,30.96,30.8
29.92,40.92,29.52,34.16
29.52,33.64,29.32,32.52
27.64,32.24,30.16,32.48
29.92,38.48,29.6,32.28
32.92,33.04,31.28,32.44
30.28,35.96,29.44,33.28
30.04,35.08,30.44,33.84
32.96,38.36,30.92,32.6
27.24,36.84,31.28,31.56
28.48,35.64,26.4,33.24
32.04,32.84,28.72,32.4
29.68,32.8,34.64,32.36
28.56,39.4,28.76,32.36
30.12,37.76,31.72,33.0
32.6,42.24,35.2,33.8
33.64,33.84,40.28,30.68
31.52,37.04,26.44,30.44
36.48,36.44,33.72,33.64
29.2,31.6,30.12,32.76
31.36,37.92,29.64,32.96
30.32,35.6,32.72,34.04
29.4,35.08,30.04,32.56
27.28,33.8,33.2,30.36
32.84,34.92,30.2,31.08
31.64,32.64,31.64,31.44
31.84,36.4,26.76,32.6
29.28,34.56,26.8,32.16
30.28,37.2,27.88,31.92
31.16,31.24,28.72,31.8
29.4,38.48,31.2,31.96
30.76,35.92,33.28,35.16
31.72,35.84,29.24,33.6
33.88,38.32,30.12,32.36
32.4,38.08,27.0,31.68
34.84,30.68,31.6,32.72
30.84,35.52,33.48,33.52
31.84,30.8,35.68,33.04
31.72,33.88,32.72,35.12
33.64,35.12,32.92,32.4
31.52,36.4,29.04,32.52
29.84,33.28,32.72,30.16
30.48,39.36,30.48,30.0
32.08,35.16,34.12,31.44
27.2,33.84,30.2,32.36
28.76,34.28,33.72,31.72
31.32,34.56,29.88,32.84
30.84,36.84,30.0,31.92
30.68,32.6,36.76,34.28
34.16,39.96,28.2,31.96
35.36,36.4,34.44,32.36
29.6,40.2,28.48,33.8
31.0,33.48,32.28,32.76
28.04,33.0,28.2,31.32
27.16,32.36,31.64,32.72
31.52,33.56,29.2,31.56
32.36,37.32,32.16,30.96
30.92,33.88,30.52,32.72
29.52,35.32,37.4,33.72
36.68,37.84,29.96,31.72
28.88,34.0,35.6,31.68
29.84,33.68,28.96,31.6
33.6,37.72,30.36,34.32
38.4,41.52,33.6,30.76
34.04,39.32,31.32,29.88
30.2,35.28,29.44,33.0
29.68,41.32,33.08,32.28
28.16,37.84,30.8,30.8
33.48,38.4,29.28,31.44
28.96,31.44,28.52,33.16
31.84,37.28,33.04,32.96
28.72,34.64,31.92,33.96
28.84,38.4,35.4,34.44
30.76,35.28,32.16,34.0
28.72,37.28,30.32,31.96
32.6,42.6,28.76,32.4
34.04,33.32,32.8,33.48
35.16,36.88,28.28,32.12
29.8,34.0,31.2,34.4
33.64,41.2,28.76,33.2
33.36,31.96,30.6,32.08
30.64,33.92,34.52,33.76
33.16,33.2,35.6,36.2
29.84,34.2,31.0,31.76
28.36,36.36,30.2,36.16
28.24,37.32,34.44,32.6
34.68,33.32,32.04,33.2
32.8,34.28,30.16,31.4
27.36,36.68,33.04,32.36
30.76,39.32,33.72,34.0
27.24,34.72,29.48,34.64
29.24,33.24,30.04,32.76
28.44,34.4,27.92,32.72
29.04,35.2,35.52,34.44
34.48,33.96,34.16,33.8
33.56,36.96,32.36,32.64
33.48,37.16,33.12,33.44
31.64,33.6,30.44,32.36
28.88,35.04,30.52,31.96
