"('greedy_selection', 'moment_updating')","('q_value_sampling', 'moment_updating')","('myopic_vpi_selection', 'moment_updating')"
35.6,52.4,34.2
34.32,53.72,34.64
35.76,44.6,34.2
37.08,51.72,36.44
32.36,51.24,34.88
35.8,53.52,36.36
35.96,55.84,37.4
34.6,45.88,36.28
36.56,54.32,35.12
38.0,47.92,34.44
37.16,48.36,37.6
34.36,52.04,33.8
34.4,46.64,35.68
33.28,43.04,36.72
38.8,48.92,35.68
34.6,52.28,36.88
36.28,51.0,38.28
34.16,49.2,34.76
35.28,52.92,37.0
37.68,49.56,36.24
33.44,49.08,34.4
35.04,52.08,34.44
38.4,48.68,38.2
33.48,48.36,35.16
34.2,50.0,36.2
32.92,57.8,38.32
34.44,52.0,36.92
37.44,51.44,37.56
38.08,55.76,36.68
32.84,56.64,37.04
37.76,46.68,36.36
32.6,50.8,41.44
33.68,44.76,35.32
35.36,47.84,36.56
36.04,48.92,35.48
36.72,46.72,37.84
36.2,55.4,34.28
36.84,44.04,34.04
36.52,53.12,36.64
34.96,46.92,40.44
34.48,53.76,37.24
36.6,51.12,35.04
33.04,49.76,36.08
33.8,49.56,33.04
36.28,47.48,38.72
33.4,58.2,37.0
35.32,53.72,38.24
37.48,46.24,35.52
34.36,50.04,37.12
33.48,51.92,37.72
33.72,51.12,35.12
37.48,55.44,33.36
33.52,52.32,35.08
36.24,46.88,34.72
36.28,56.4,38.36
36.6,53.0,37.8
34.12,46.36,36.32
34.56,52.84,37.4
39.12,54.24,34.2
35.76,52.76,35.4
35.8,50.64,37.8
38.16,51.4,35.32
33.6,49.56,34.52
35.44,48.44,37.52
33.0,63.6,35.92
37.72,47.68,36.56
37.64,48.92,39.8
36.88,47.16,36.72
33.4,53.52,36.2
37.84,58.44,37.52
33.84,52.44,35.96
36.52,57.16,33.64
38.24,55.0,34.48
35.6,47.52,37.92
36.84,46.68,33.28
35.32,49.04,35.52
33.72,49.36,35.8
33.12,55.4,35.12
35.0,47.2,40.64
33.52,49.04,34.04
36.28,51.6,37.0
33.84,46.76,34.16
32.24,48.2,33.44
34.32,51.64,34.56
35.64,52.32,35.84
35.04,51.84,35.16
35.32,52.36,34.36
37.28,57.6,34.64
35.96,52.2,34.64
35.12,46.0,34.8
33.72,46.48,36.6
34.32,55.6,37.32
38.08,55.04,33.92
34.2,55.6,33.92
34.4,50.76,37.4
35.68,53.52,38.4
36.24,58.0,35.64
34.24,51.68,35.4
38.68,56.92,36.44
32.96,50.56,34.96
34.92,44.76,36.76
35.32,50.52,34.92
35.4,50.96,37.72
33.16,50.84,36.28
33.72,52.04,33.76
34.76,54.84,35.88
36.88,48.36,35.0
35.48,49.32,36.6
38.8,55.28,38.64
35.68,46.88,34.2
34.24,45.92,34.92
34.28,48.36,35.64
31.96,53.44,40.68
36.12,50.32,38.6
35.2,56.56,36.16
36.36,54.8,35.68
36.6,54.76,35.92
35.88,56.24,36.24
33.8,50.16,36.92
34.12,47.36,35.16
35.32,49.6,35.24
35.48,47.04,35.64
32.4,55.28,34.76
37.2,58.48,35.88
37.28,52.08,36.12
36.28,48.2,36.96
35.36,48.72,35.12
34.84,44.04,34.36
36.16,53.24,37.96
36.24,46.16,34.44
35.52,51.04,33.84
36.12,53.48,35.6
37.44,48.4,35.36
34.08,46.92,34.72
32.6,46.32,37.24
35.64,58.84,37.56
35.56,59.08,35.72
32.84,52.44,38.28
34.16,49.68,34.92
33.64,51.16,34.48
33.48,46.36,34.36
37.72,47.8,37.24
36.88,55.84,35.16
33.64,58.32,40.0
37.56,52.48,37.32
34.92,55.48,35.2
39.76,47.28,35.44
38.48,52.48,33.56
34.92,48.68,36.88
37.2,53.56,36.32
35.2,52.64,34.52
33.44,52.76,40.52
35.72,51.92,35.76
33.48,52.88,37.6
38.36,50.6,35.64
34.8,57.24,36.28
37.52,49.16,36.36
33.0,46.68,34.68
37.72,53.56,35.76
35.84,52.68,35.8
36.32,52.84,36.44
34.12,50.8,35.28
37.8,47.92,37.64
33.04,48.28,35.44
35.76,51.48,34.76
33.52,59.0,36.44
39.52,52.6,36.04
36.64,48.36,38.0
34.04,55.08,36.48
