"(0, 1000, 'greedy', 0, 1)","(0, 1000, 'greedy', 0, 5)","(0, 1000, 'greedy', 0, 10)","(0, 1000, 'greedy', 0, 20)","(0, 1000, 'constant-epsilon', 0.1, 1)","(0, 1000, 'constant-epsilon', 0.1, 5)","(0, 1000, 'constant-epsilon', 0.1, 10)","(0, 1000, 'constant-epsilon', 0.1, 20)","(0, 1000, 'epsilon_greedy', 0.1, 1)","(0, 1000, 'epsilon_greedy', 0.1, 5)","(0, 1000, 'epsilon_greedy', 0.1, 10)","(0, 1000, 'epsilon_greedy', 0.1, 20)","(0, 1000, 'boltzmann_exploration', 1.5, 1)","(0, 1000, 'boltzmann_exploration', 1.5, 5)","(0, 1000, 'boltzmann_exploration', 1.5, 10)","(0, 1000, 'boltzmann_exploration', 1.5, 20)","(0.25, 1000, 'greedy', 0, 1)","(0.25, 1000, 'greedy', 0, 5)","(0.25, 1000, 'greedy', 0, 10)","(0.25, 1000, 'greedy', 0, 20)","(0.25, 1000, 'constant-epsilon', 0.1, 1)","(0.25, 1000, 'constant-epsilon', 0.1, 5)","(0.25, 1000, 'constant-epsilon', 0.1, 10)","(0.25, 1000, 'constant-epsilon', 0.1, 20)","(0.25, 1000, 'epsilon_greedy', 0.1, 1)","(0.25, 1000, 'epsilon_greedy', 0.1, 5)","(0.25, 1000, 'epsilon_greedy', 0.1, 10)","(0.25, 1000, 'epsilon_greedy', 0.1, 20)","(0.25, 1000, 'boltzmann_exploration', 1.5, 1)","(0.25, 1000, 'boltzmann_exploration', 1.5, 5)","(0.25, 1000, 'boltzmann_exploration', 1.5, 10)","(0.25, 1000, 'boltzmann_exploration', 1.5, 20)","(0.5, 1000, 'greedy', 0, 1)","(0.5, 1000, 'greedy', 0, 5)","(0.5, 1000, 'greedy', 0, 10)","(0.5, 1000, 'greedy', 0, 20)","(0.5, 1000, 'constant-epsilon', 0.1, 1)","(0.5, 1000, 'constant-epsilon', 0.1, 5)","(0.5, 1000, 'constant-epsilon', 0.1, 10)","(0.5, 1000, 'constant-epsilon', 0.1, 20)","(0.5, 1000, 'epsilon_greedy', 0.1, 1)","(0.5, 1000, 'epsilon_greedy', 0.1, 5)","(0.5, 1000, 'epsilon_greedy', 0.1, 10)","(0.5, 1000, 'epsilon_greedy', 0.1, 20)","(0.5, 1000, 'boltzmann_exploration', 1.5, 1)","(0.5, 1000, 'boltzmann_exploration', 1.5, 5)","(0.5, 1000, 'boltzmann_exploration', 1.5, 10)","(0.5, 1000, 'boltzmann_exploration', 1.5, 20)","(0.75, 1000, 'greedy', 0, 1)","(0.75, 1000, 'greedy', 0, 5)","(0.75, 1000, 'greedy', 0, 10)","(0.75, 1000, 'greedy', 0, 20)","(0.75, 1000, 'constant-epsilon', 0.1, 1)","(0.75, 1000, 'constant-epsilon', 0.1, 5)","(0.75, 1000, 'constant-epsilon', 0.1, 10)","(0.75, 1000, 'constant-epsilon', 0.1, 20)","(0.75, 1000, 'epsilon_greedy', 0.1, 1)","(0.75, 1000, 'epsilon_greedy', 0.1, 5)","(0.75, 1000, 'epsilon_greedy', 0.1, 10)","(0.75, 1000, 'epsilon_greedy', 0.1, 20)","(0.75, 1000, 'boltzmann_exploration', 1.5, 1)","(0.75, 1000, 'boltzmann_exploration', 1.5, 5)","(0.75, 1000, 'boltzmann_exploration', 1.5, 10)","(0.75, 1000, 'boltzmann_exploration', 1.5, 20)","(1, 1000, 'greedy', 0, 1)","(1, 1000, 'greedy', 0, 5)","(1, 1000, 'greedy', 0, 10)","(1, 1000, 'greedy', 0, 20)","(1, 1000, 'constant-epsilon', 0.1, 1)","(1, 1000, 'constant-epsilon', 0.1, 5)","(1, 1000, 'constant-epsilon', 0.1, 10)","(1, 1000, 'constant-epsilon', 0.1, 20)","(1, 1000, 'epsilon_greedy', 0.1, 1)","(1, 1000, 'epsilon_greedy', 0.1, 5)","(1, 1000, 'epsilon_greedy', 0.1, 10)","(1, 1000, 'epsilon_greedy', 0.1, 20)","(1, 1000, 'boltzmann_exploration', 1.5, 1)","(1, 1000, 'boltzmann_exploration', 1.5, 5)","(1, 1000, 'boltzmann_exploration', 1.5, 10)","(1, 1000, 'boltzmann_exploration', 1.5, 20)"
28.64,65.48,67.6,69.92,30.0,49.76,52.6,52.92,30.08,49.88,52.88,53.2,33.16,32.84,32.2,35.4,28.64,65.16,67.48,69.92,29.88,49.76,51.36,52.36,29.96,49.88,51.8,52.8,33.16,34.88,34.72,36.2,28.64,65.8,67.52,69.92,30.0,49.92,51.08,53.64,30.08,50.04,51.52,52.64,33.16,34.64,34.36,36.56,28.64,65.8,67.44,69.92,29.88,49.56,52.84,53.88,30.2,49.84,52.36,52.88,33.16,34.6,35.2,35.32,28.64,68.48,67.16,69.32,31.88,49.08,53.2,55.04,31.92,49.52,52.72,53.52,32.92,34.88,34.92,38.76
30.8,56.0,58.44,59.88,30.12,49.84,49.92,53.64,30.32,49.8,49.84,53.52,32.48,32.6,30.56,31.28,30.8,56.04,57.32,59.88,29.96,49.84,50.52,53.96,30.16,49.8,50.44,53.52,32.48,32.0,31.32,31.0,30.8,57.0,57.0,59.88,30.12,49.84,49.24,54.08,30.32,49.8,49.16,53.6,32.48,31.32,31.24,30.32,30.8,57.0,57.0,59.88,29.96,49.04,50.72,52.72,30.0,49.0,50.32,52.24,32.48,30.96,31.96,31.12,30.8,56.64,57.0,59.88,29.64,48.24,50.8,50.0,29.76,48.2,50.4,49.2,32.8,30.84,29.92,32.28
28.68,55.24,52.2,52.52,31.92,44.32,45.0,47.32,32.24,44.2,45.0,47.44,31.48,29.84,29.96,31.24,28.68,54.56,51.56,52.52,31.88,44.32,46.04,47.16,32.2,44.2,46.04,47.28,31.56,29.92,30.6,31.2,28.68,53.84,51.68,52.52,31.92,44.36,43.44,47.72,32.24,44.24,43.44,47.28,31.56,29.96,28.36,31.08,28.68,53.84,53.04,52.52,31.88,43.16,43.88,46.76,32.12,43.04,43.8,45.44,31.56,31.28,30.28,30.92,28.68,53.08,52.52,52.52,31.8,42.32,46.84,47.64,32.08,42.2,46.24,46.32,31.8,32.56,30.36,32.68
29.52,55.04,55.32,54.56,32.44,45.88,47.44,45.68,32.36,45.96,47.64,46.4,33.28,28.88,30.08,33.68,29.52,54.32,54.2,54.56,32.28,45.88,44.56,43.28,32.2,45.96,44.6,44.0,33.44,29.8,30.32,34.04,29.52,53.84,54.68,54.56,32.44,45.88,44.48,44.76,32.36,45.8,44.64,44.0,33.44,30.16,33.4,34.0,29.52,53.84,55.0,54.56,32.28,45.32,43.04,45.4,32.12,45.0,42.92,44.4,33.44,28.88,31.08,33.48,29.52,53.8,55.08,54.56,32.24,44.76,43.76,44.8,32.16,44.44,43.4,44.24,33.76,31.96,33.16,33.44
33.0,67.96,68.04,68.68,32.44,51.48,54.88,56.44,32.76,51.48,54.84,57.72,34.44,34.32,31.88,29.68,33.0,67.84,67.28,68.68,32.32,51.48,54.84,56.4,32.64,51.48,54.8,57.6,34.44,33.04,31.32,31.4,33.0,68.16,67.12,68.68,32.44,51.56,54.2,56.88,32.76,51.56,54.16,56.12,34.44,33.88,32.12,30.4,33.0,68.16,67.16,68.68,32.32,50.48,52.88,56.08,32.56,50.48,52.48,55.64,34.44,33.48,31.56,34.04,33.0,68.64,67.16,68.0,33.84,52.32,51.84,54.44,34.0,52.32,51.8,55.0,34.44,36.72,33.6,34.16
29.92,61.4,59.8,63.0,34.44,55.36,56.96,57.16,34.68,55.36,57.08,56.88,34.36,33.0,31.28,28.16,29.92,61.8,60.44,63.0,34.44,55.36,57.28,57.64,34.68,55.36,57.8,57.0,34.36,34.48,33.6,28.24,29.92,61.84,60.36,63.0,34.44,55.92,58.52,57.56,34.68,55.72,58.56,57.04,34.36,34.84,31.48,28.08,29.92,61.84,58.68,63.0,34.44,55.8,56.56,57.04,34.52,55.6,56.64,56.68,34.36,36.08,29.56,30.32,29.92,62.76,60.16,63.48,34.88,55.12,55.4,54.44,34.92,55.84,55.44,52.88,33.0,39.4,33.64,32.4
32.08,65.4,64.88,66.52,31.92,60.2,61.88,62.48,31.96,60.12,61.84,62.36,31.92,32.48,31.88,32.28,32.08,64.92,66.04,66.52,32.0,60.2,64.24,63.36,32.04,60.12,64.12,62.84,31.92,33.84,35.0,33.04,32.08,64.92,65.36,66.52,31.92,60.16,62.64,62.6,31.96,60.08,62.52,62.84,31.92,34.24,37.32,33.32,32.08,64.92,65.16,66.52,32.0,58.64,60.88,63.32,32.0,58.56,60.76,62.2,31.92,34.36,40.68,37.16,32.08,66.96,65.08,66.68,31.72,59.28,60.96,61.36,31.64,59.64,61.36,61.12,32.24,36.68,39.76,37.08
30.2,58.68,58.84,60.44,29.24,52.6,55.84,55.2,30.2,52.24,55.32,56.0,32.56,30.88,31.84,32.0,30.2,59.2,60.12,60.44,29.12,52.6,55.44,53.84,30.08,52.24,54.96,55.8,32.56,30.68,32.68,30.2,30.2,59.84,59.52,60.44,29.24,51.48,54.76,54.8,30.2,51.12,54.24,55.28,32.56,33.48,36.08,33.72,30.2,59.84,57.72,60.44,29.12,50.68,56.24,55.68,30.08,50.32,55.44,54.8,32.56,34.12,37.72,36.12,30.2,59.92,59.2,60.2,29.72,50.24,54.92,54.4,29.84,50.24,53.88,54.52,32.8,36.56,33.2,32.4
29.08,62.16,60.76,62.56,33.56,47.36,51.88,53.32,33.64,47.36,52.8,54.64,33.04,34.32,32.64,31.72,29.08,62.16,61.44,62.56,33.56,47.36,52.08,51.68,33.64,47.36,51.92,54.2,33.04,32.64,33.76,34.64,29.08,61.48,61.92,62.56,33.56,47.36,51.8,52.96,33.64,47.36,51.64,52.52,33.04,35.52,32.32,34.0,29.08,61.48,61.92,62.56,33.56,47.52,52.2,52.28,33.52,47.88,52.04,53.24,33.04,37.12,31.96,33.6,29.08,61.4,61.92,63.0,34.4,48.28,51.8,50.64,34.8,47.84,51.04,52.84,33.2,38.12,33.52,34.24
30.48,57.92,59.96,62.04,31.44,49.36,51.28,55.16,32.08,49.88,51.24,56.4,32.56,32.48,31.88,33.76,30.48,57.4,59.12,62.04,31.36,49.36,52.04,57.68,32.0,49.88,51.96,56.84,32.92,29.92,31.24,32.52,30.48,58.4,59.36,62.04,31.44,49.44,50.96,57.04,32.08,49.96,50.88,54.6,32.92,29.2,33.12,32.44,30.48,58.4,58.84,62.04,31.36,50.52,51.72,56.44,31.96,51.0,52.16,53.16,32.92,33.6,33.04,34.36,30.48,57.6,59.88,61.84,30.48,51.0,50.0,55.04,30.64,49.28,51.08,51.68,33.32,34.96,31.68,35.16
32.92,62.8,62.32,63.44,30.0,55.16,54.32,55.28,29.88,55.08,55.08,54.56,33.0,35.48,34.84,33.44,32.92,63.72,62.52,63.44,30.0,55.16,53.56,54.88,29.88,55.08,54.32,54.56,33.0,35.64,35.6,36.96,32.92,64.2,63.28,63.44,30.0,55.08,54.04,54.12,29.88,55.0,54.68,53.88,33.0,35.92,39.04,38.72,32.92,64.2,62.96,63.44,30.0,55.08,54.72,52.16,29.92,55.4,55.48,52.12,33.0,33.0,37.04,37.96,32.92,63.52,63.08,63.44,29.84,53.64,54.48,52.2,29.96,54.24,53.96,51.88,33.16,35.28,35.72,36.52
31.16,61.32,63.48,65.24,31.16,47.04,50.56,52.16,31.36,47.16,50.68,52.04,33.04,31.2,31.4,32.04,31.16,62.6,62.96,65.24,31.12,47.04,50.92,52.68,31.32,47.16,50.8,52.44,33.04,29.88,32.2,33.32,31.16,62.36,63.92,65.24,31.16,46.92,49.48,51.28,31.36,47.08,49.96,51.32,33.04,31.48,31.16,34.88,31.16,62.36,62.12,65.24,31.12,48.6,50.32,50.48,31.2,48.76,50.96,51.64,33.04,32.92,32.72,36.12,31.16,61.48,63.44,65.24,32.16,48.48,51.4,49.4,32.28,48.88,51.48,50.32,33.0,33.6,37.84,32.8
29.0,61.48,62.04,66.52,33.6,52.16,54.16,52.52,33.72,50.84,52.32,52.52,33.08,32.96,31.2,33.88,29.0,60.96,61.44,66.52,33.52,52.16,53.36,52.8,33.64,50.84,52.92,52.6,33.12,34.04,32.92,35.08,29.0,60.64,61.28,66.52,33.6,51.4,53.28,52.96,33.72,50.32,53.04,52.6,33.12,33.88,35.04,35.76,29.0,60.64,60.96,66.52,33.52,49.6,51.52,52.28,33.52,48.8,51.04,51.76,33.12,32.32,36.76,35.36,29.0,62.16,61.76,66.52,32.0,51.04,51.64,51.92,32.12,50.68,52.68,54.28,33.4,31.84,39.08,36.24
32.32,58.32,60.64,63.4,33.0,46.76,50.16,51.44,33.56,47.32,49.88,52.76,33.76,33.92,35.84,32.32,32.32,59.36,59.96,63.4,32.8,46.76,51.68,52.32,33.36,47.32,50.92,52.48,33.76,32.52,32.76,32.24,32.32,59.32,59.6,63.4,33.0,46.48,50.4,50.6,33.56,47.36,51.68,52.48,33.76,30.96,35.2,35.24,32.32,59.32,58.56,63.4,32.8,46.8,52.2,51.0,33.32,46.76,52.48,52.16,33.76,30.8,37.92,35.84,32.32,61.64,59.0,63.4,32.4,48.68,50.56,49.48,32.48,48.92,50.52,51.4,34.36,33.4,30.72,34.08
30.8,62.24,66.2,66.48,29.84,50.88,50.6,51.16,30.08,50.48,49.92,50.4,32.88,30.88,32.36,28.64,30.8,62.4,66.76,66.48,30.12,50.88,52.16,52.24,30.36,50.52,52.12,52.2,32.88,31.32,33.4,32.36,30.8,66.28,64.0,66.48,29.84,50.64,48.6,52.36,30.08,50.52,48.52,52.2,33.04,32.6,35.64,33.64,30.8,66.28,62.72,66.48,30.12,51.76,50.64,51.24,30.24,51.2,50.08,52.6,33.04,33.32,35.68,32.92,30.8,66.88,63.84,66.48,30.04,52.8,52.2,49.6,30.4,52.76,51.24,52.16,33.36,35.76,33.36,31.72
