"(0, 1000, 'greedy', 0, 1)","(0, 1000, 'greedy', 0, 5)","(0, 1000, 'greedy', 0, 10)","(0, 1000, 'greedy', 0, 20)","(0, 1000, 'constant-epsilon', 0.1, 1)","(0, 1000, 'constant-epsilon', 0.1, 5)","(0, 1000, 'constant-epsilon', 0.1, 10)","(0, 1000, 'constant-epsilon', 0.1, 20)","(0, 1000, 'epsilon_greedy', 0.1, 1)","(0, 1000, 'epsilon_greedy', 0.1, 5)","(0, 1000, 'epsilon_greedy', 0.1, 10)","(0, 1000, 'epsilon_greedy', 0.1, 20)","(0, 1000, 'boltzmann_exploration', 1.5, 1)","(0, 1000, 'boltzmann_exploration', 1.5, 5)","(0, 1000, 'boltzmann_exploration', 1.5, 10)","(0, 1000, 'boltzmann_exploration', 1.5, 20)","(0.25, 1000, 'greedy', 0, 1)","(0.25, 1000, 'greedy', 0, 5)","(0.25, 1000, 'greedy', 0, 10)","(0.25, 1000, 'greedy', 0, 20)","(0.25, 1000, 'constant-epsilon', 0.1, 1)","(0.25, 1000, 'constant-epsilon', 0.1, 5)","(0.25, 1000, 'constant-epsilon', 0.1, 10)","(0.25, 1000, 'constant-epsilon', 0.1, 20)","(0.25, 1000, 'epsilon_greedy', 0.1, 1)","(0.25, 1000, 'epsilon_greedy', 0.1, 5)","(0.25, 1000, 'epsilon_greedy', 0.1, 10)","(0.25, 1000, 'epsilon_greedy', 0.1, 20)","(0.25, 1000, 'boltzmann_exploration', 1.5, 1)","(0.25, 1000, 'boltzmann_exploration', 1.5, 5)","(0.25, 1000, 'boltzmann_exploration', 1.5, 10)","(0.25, 1000, 'boltzmann_exploration', 1.5, 20)","(0.5, 1000, 'greedy', 0, 1)","(0.5, 1000, 'greedy', 0, 5)","(0.5, 1000, 'greedy', 0, 10)","(0.5, 1000, 'greedy', 0, 20)","(0.5, 1000, 'constant-epsilon', 0.1, 1)","(0.5, 1000, 'constant-epsilon', 0.1, 5)","(0.5, 1000, 'constant-epsilon', 0.1, 10)","(0.5, 1000, 'constant-epsilon', 0.1, 20)","(0.5, 1000, 'epsilon_greedy', 0.1, 1)","(0.5, 1000, 'epsilon_greedy', 0.1, 5)","(0.5, 1000, 'epsilon_greedy', 0.1, 10)","(0.5, 1000, 'epsilon_greedy', 0.1, 20)","(0.5, 1000, 'boltzmann_exploration', 1.5, 1)","(0.5, 1000, 'boltzmann_exploration', 1.5, 5)","(0.5, 1000, 'boltzmann_exploration', 1.5, 10)","(0.5, 1000, 'boltzmann_exploration', 1.5, 20)","(0.75, 1000, 'greedy', 0, 1)","(0.75, 1000, 'greedy', 0, 5)","(0.75, 1000, 'greedy', 0, 10)","(0.75, 1000, 'greedy', 0, 20)","(0.75, 1000, 'constant-epsilon', 0.1, 1)","(0.75, 1000, 'constant-epsilon', 0.1, 5)","(0.75, 1000, 'constant-epsilon', 0.1, 10)","(0.75, 1000, 'constant-epsilon', 0.1, 20)","(0.75, 1000, 'epsilon_greedy', 0.1, 1)","(0.75, 1000, 'epsilon_greedy', 0.1, 5)","(0.75, 1000, 'epsilon_greedy', 0.1, 10)","(0.75, 1000, 'epsilon_greedy', 0.1, 20)","(0.75, 1000, 'boltzmann_exploration', 1.5, 1)","(0.75, 1000, 'boltzmann_exploration', 1.5, 5)","(0.75, 1000, 'boltzmann_exploration', 1.5, 10)","(0.75, 1000, 'boltzmann_exploration', 1.5, 20)","(1, 1000, 'greedy', 0, 1)","(1, 1000, 'greedy', 0, 5)","(1, 1000, 'greedy', 0, 10)","(1, 1000, 'greedy', 0, 20)","(1, 1000, 'constant-epsilon', 0.1, 1)","(1, 1000, 'constant-epsilon', 0.1, 5)","(1, 1000, 'constant-epsilon', 0.1, 10)","(1, 1000, 'constant-epsilon', 0.1, 20)","(1, 1000, 'epsilon_greedy', 0.1, 1)","(1, 1000, 'epsilon_greedy', 0.1, 5)","(1, 1000, 'epsilon_greedy', 0.1, 10)","(1, 1000, 'epsilon_greedy', 0.1, 20)","(1, 1000, 'boltzmann_exploration', 1.5, 1)","(1, 1000, 'boltzmann_exploration', 1.5, 5)","(1, 1000, 'boltzmann_exploration', 1.5, 10)","(1, 1000, 'boltzmann_exploration', 1.5, 20)"
30.28,65.88,65.28,66.44,33.08,42.72,41.04,46.76,33.12,39.36,49.44,45.2,33.0,34.32,35.12,35.28,30.28,64.72,64.16,66.44,33.32,51.52,47.2,48.48,33.0,49.12,46.92,48.16,33.12,36.48,39.92,35.8,30.28,64.4,64.04,66.8,33.16,45.4,48.68,48.52,32.92,46.44,49.28,44.08,33.12,38.0,40.76,42.6,30.28,64.4,65.56,66.44,33.24,46.2,47.88,49.24,33.24,45.04,48.52,50.0,33.12,38.28,43.24,44.6,30.28,64.28,65.28,66.44,33.4,48.64,47.12,50.44,33.12,48.96,47.04,49.64,33.48,44.04,39.6,48.6
36.68,53.6,55.76,58.24,33.32,41.24,42.52,40.52,33.56,39.48,47.04,42.36,34.24,37.32,33.36,34.76,36.68,54.2,56.48,58.24,32.72,40.12,43.28,45.6,32.92,41.84,40.68,44.12,34.24,38.88,39.36,38.36,36.68,55.64,56.32,58.56,32.96,41.6,38.76,46.76,33.2,45.52,42.12,45.04,34.24,41.76,37.48,35.04,36.68,55.64,54.92,58.24,32.84,39.36,45.88,42.88,35.48,39.6,45.32,41.28,34.24,40.16,43.52,44.2,36.68,56.56,55.84,58.24,33.68,42.0,42.76,43.32,30.6,43.52,41.24,41.64,33.0,42.8,44.2,36.92
28.76,67.4,67.48,70.36,32.04,43.68,46.36,48.28,31.36,38.44,50.64,48.88,33.36,36.48,37.12,31.92,28.76,65.92,68.56,70.36,31.2,50.04,52.52,49.64,31.44,51.08,54.12,49.32,33.36,41.72,41.32,40.48,28.76,66.04,68.08,70.52,31.52,46.44,50.2,50.88,31.68,49.0,49.04,43.64,33.36,42.76,40.0,37.68,28.76,66.04,68.0,70.36,30.84,46.68,48.12,47.88,31.96,43.92,46.12,53.28,33.36,40.12,42.32,47.72,28.76,68.6,67.88,70.36,31.08,47.88,50.4,52.32,31.08,45.88,53.88,52.96,33.52,42.72,39.28,44.52
31.28,63.32,65.64,65.56,31.92,41.68,45.84,47.48,31.68,45.52,42.24,43.72,34.48,39.04,38.96,32.28,31.28,63.8,65.6,65.56,31.72,44.8,48.2,43.6,33.12,41.48,43.12,47.72,33.92,39.24,41.04,39.36,31.28,63.68,65.48,65.08,31.24,46.64,44.76,46.16,33.32,44.76,43.64,44.12,33.92,43.56,40.88,40.76,31.28,63.68,63.8,65.56,31.12,45.12,45.64,49.4,33.52,43.12,50.4,48.72,33.92,46.52,50.48,42.88,31.28,63.16,65.12,65.56,30.84,46.28,47.24,42.76,33.28,47.6,48.24,45.8,34.2,49.36,44.16,40.32
29.96,58.8,57.64,58.76,31.08,47.6,43.4,49.72,30.24,43.0,43.88,45.0,31.88,38.44,35.2,29.52,29.96,57.08,57.32,58.76,31.76,44.64,41.4,45.08,30.56,45.36,46.0,46.08,32.04,40.8,37.24,38.8,29.96,58.12,57.0,58.4,30.28,43.68,45.56,48.44,30.92,47.4,44.24,49.28,32.04,42.12,42.28,35.2,29.96,58.12,58.24,58.76,30.08,44.88,50.12,48.68,30.68,46.88,47.48,48.64,32.04,42.76,41.4,37.8,29.96,58.68,57.88,58.76,30.4,45.72,43.92,48.12,30.68,46.64,47.88,47.56,32.4,44.96,40.32,44.72
31.0,62.64,64.12,66.36,35.68,47.28,42.44,44.2,35.64,40.92,40.72,43.44,33.8,36.92,32.76,31.88,31.0,62.28,62.4,66.36,35.72,46.96,44.68,45.96,35.96,43.84,46.2,44.72,33.8,38.88,37.44,42.08,31.0,62.0,63.08,65.08,36.68,43.28,45.36,48.48,36.32,47.28,41.0,46.2,33.8,44.32,38.6,38.56,31.0,62.0,63.4,66.36,36.84,43.84,49.6,47.72,35.96,43.48,45.0,49.68,33.8,47.84,43.24,41.56,31.0,63.96,63.4,66.36,36.0,44.16,47.44,44.24,35.92,46.84,47.56,48.36,33.6,47.2,49.36,49.44
29.76,60.0,59.56,58.68,34.48,39.4,39.04,44.04,33.64,43.64,41.64,47.24,31.84,34.68,35.68,32.52,29.76,59.88,59.16,58.68,34.2,43.96,47.64,47.32,33.84,42.56,46.24,45.2,31.76,36.2,39.72,35.28,29.76,59.2,59.48,57.92,34.48,40.72,48.44,47.12,34.96,41.36,40.0,45.2,31.92,40.72,40.88,36.28,29.76,59.2,59.36,58.68,34.12,43.44,45.8,46.4,34.88,41.76,47.04,43.96,31.92,39.68,40.52,37.44,29.76,59.08,59.24,58.68,36.2,47.64,42.32,44.36,35.36,38.36,48.4,45.56,32.12,38.4,39.0,42.96
29.32,70.2,71.44,72.32,32.4,51.76,41.68,47.6,33.24,44.8,45.36,48.12,34.44,38.28,36.12,34.2,29.32,71.04,71.96,72.32,32.04,53.0,48.76,46.96,32.88,46.32,53.08,40.52,34.44,41.96,41.28,41.96,29.32,71.6,71.4,72.32,32.44,51.68,46.52,48.6,32.36,49.84,45.0,45.2,34.44,45.92,40.04,38.32,29.32,71.6,70.52,72.32,32.24,50.12,50.76,45.8,32.64,49.24,52.68,46.56,34.44,44.72,43.68,39.08,29.32,71.08,71.2,72.32,33.52,49.36,46.52,48.8,33.28,51.92,47.0,46.8,34.68,47.6,44.16,41.84
30.48,62.64,64.72,67.04,32.6,50.92,47.2,45.8,33.44,45.0,47.28,49.04,33.04,40.24,36.08,31.52,30.48,62.92,63.36,67.04,32.48,47.04,46.64,43.68,33.76,48.36,45.72,49.0,33.48,43.36,42.64,42.48,30.48,65.32,64.24,67.04,33.2,46.56,50.2,49.6,33.72,46.32,43.24,48.76,33.48,47.6,44.72,45.12,30.48,65.32,65.4,67.04,32.52,45.36,47.4,41.84,33.04,45.44,47.28,49.28,33.48,40.92,46.76,53.6,30.48,65.28,65.2,67.04,31.96,44.2,48.84,52.52,32.76,46.52,47.48,54.4,33.72,49.64,50.24,51.16
31.8,61.68,66.32,67.44,35.16,51.12,47.48,41.48,38.56,51.52,48.12,41.92,34.4,41.24,37.36,31.36,31.8,62.2,64.48,67.44,34.6,46.96,47.76,43.4,37.76,47.56,48.76,44.84,34.4,42.32,42.28,42.44,31.8,62.16,64.44,67.44,34.88,48.84,44.68,49.12,37.48,48.12,41.84,46.0,34.4,46.52,42.68,41.12,31.8,62.16,66.08,67.44,34.56,45.48,47.92,46.04,38.0,43.04,46.48,48.28,34.4,47.28,45.2,46.56,31.8,64.36,65.72,67.44,34.8,48.04,44.76,47.48,36.84,45.0,47.56,48.32,34.68,45.8,48.96,45.24
31.8,70.32,67.08,68.8,31.44,48.56,47.88,45.64,31.6,44.64,45.32,49.44,33.68,38.76,33.76,34.6,31.8,69.4,66.68,68.8,30.92,51.4,45.76,45.64,31.72,44.2,46.28,47.6,33.68,40.48,41.24,44.56,31.8,70.12,65.88,68.8,31.36,44.76,43.4,49.24,31.88,45.92,36.84,43.52,33.68,44.0,41.28,39.96,31.8,70.12,67.16,68.8,30.72,38.0,50.36,50.64,32.44,42.08,52.92,43.64,33.68,43.56,48.08,47.76,31.8,70.4,66.72,68.8,31.64,42.88,46.72,50.16,32.04,44.72,49.76,47.68,33.72,44.68,48.36,48.72
29.92,63.8,68.8,70.28,31.84,47.6,48.6,43.56,31.72,46.96,49.88,46.96,34.32,41.0,35.32,32.56,29.92,62.36,67.56,70.28,30.96,49.84,49.28,44.56,30.88,49.36,50.04,43.16,34.32,47.16,46.72,42.12,29.92,64.72,67.52,70.28,31.56,49.16,45.68,46.88,31.04,47.2,45.96,47.96,34.32,48.48,46.4,40.08,29.92,64.72,68.32,70.28,32.0,48.04,46.92,50.16,30.88,42.8,51.0,50.72,34.32,47.08,50.32,46.6,29.92,64.6,68.56,70.28,32.12,44.24,44.96,48.64,31.0,45.68,46.52,49.16,34.56,49.32,46.36,50.36
30.68,61.48,64.16,64.36,31.28,43.52,43.2,42.76,32.52,46.52,46.68,46.04,33.68,36.16,38.8,36.04,30.68,61.6,64.48,64.36,31.0,41.64,45.92,46.48,31.96,46.08,46.92,46.8,34.24,39.32,39.72,36.12,30.68,61.92,64.0,64.36,31.32,49.2,44.64,42.76,32.0,46.56,41.0,44.96,34.24,40.28,44.16,39.76,30.68,61.92,64.56,64.36,31.0,45.12,48.84,44.4,32.0,46.6,46.72,44.88,34.24,37.64,45.56,41.48,30.68,63.56,64.2,64.36,31.4,50.16,45.36,50.12,33.6,47.48,48.72,46.6,34.6,41.68,42.44,45.24
32.56,63.96,63.8,64.96,32.28,45.28,44.04,44.84,32.0,51.72,43.12,45.0,33.76,34.96,35.32,34.16,32.56,62.88,64.44,64.96,31.44,42.92,41.04,39.84,33.12,41.64,47.36,40.28,33.8,39.4,45.36,42.28,32.56,63.68,63.88,64.96,31.92,49.8,39.16,41.44,32.92,48.32,42.08,39.36,33.8,43.08,47.48,41.28,32.56,63.68,64.16,64.96,32.0,42.36,43.32,49.2,32.8,50.6,45.6,45.28,33.8,46.2,51.6,46.52,32.56,64.16,64.12,64.96,32.72,46.8,38.8,46.84,33.88,48.92,44.44,42.64,34.08,51.72,55.56,42.84
32.6,46.88,51.8,52.0,32.36,45.56,39.28,39.8,32.84,38.92,42.6,39.68,31.44,31.04,32.12,31.76,32.6,47.04,50.96,52.0,30.76,38.56,38.16,41.08,30.52,39.32,40.2,40.44,31.44,37.04,34.44,31.84,32.6,47.44,50.48,52.0,31.0,38.8,38.88,37.4,30.32,41.64,39.8,41.84,31.44,36.08,35.32,37.24,32.6,47.44,50.88,52.0,30.88,39.88,40.28,37.96,30.64,41.12,39.88,39.2,31.44,41.72,38.6,34.4,32.6,50.4,51.04,52.0,30.52,40.72,37.68,43.6,30.76,40.12,36.96,43.4,31.76,40.64,41.52,37.6
29.96,57.4,61.56,63.32,36.2,54.88,44.52,46.2,33.44,47.64,45.12,46.72,35.0,39.76,34.64,33.0,29.96,57.76,60.68,63.32,35.2,50.8,46.84,45.56,33.0,45.88,54.0,47.44,35.0,39.32,41.24,40.64,29.96,58.8,60.4,63.32,35.16,52.52,53.4,42.56,33.52,49.0,46.12,47.08,35.0,39.2,40.68,38.28,29.96,58.8,58.92,63.32,35.2,53.04,49.0,54.4,34.0,49.52,47.8,49.64,35.0,40.16,46.04,45.0,29.96,59.6,60.76,63.32,35.64,47.0,45.24,46.36,36.0,51.28,47.88,43.36,35.28,47.32,47.6,43.68
30.6,64.92,68.32,69.04,32.04,52.12,52.2,46.4,34.48,50.44,52.56,48.36,33.28,41.16,40.32,38.96,30.6,65.88,68.48,69.04,32.12,52.96,55.56,47.2,33.12,49.76,53.76,50.64,33.32,47.88,48.48,48.28,30.6,66.68,68.24,69.04,32.36,50.8,53.8,53.44,34.04,53.2,47.04,48.48,33.32,48.92,48.36,40.72,30.6,66.68,68.2,69.04,33.0,54.32,53.64,44.68,33.32,51.32,50.28,50.04,33.32,46.0,49.28,46.48,30.6,68.64,67.8,69.04,32.88,51.44,50.16,48.32,32.08,57.76,50.72,49.16,33.6,50.16,50.84,51.76
30.6,60.12,62.32,63.28,35.68,47.04,44.56,42.48,34.52,42.28,48.28,43.44,34.76,34.0,37.24,35.4,30.6,60.08,61.12,63.28,35.2,50.24,39.36,46.56,33.48,43.76,51.08,41.08,34.76,41.6,42.12,39.76,30.6,59.24,61.28,63.28,35.28,49.44,44.12,42.76,33.88,48.12,37.12,43.12,34.76,42.72,44.08,44.72,30.6,59.24,60.32,63.28,35.72,45.72,44.88,45.08,33.64,43.36,45.76,47.92,34.76,45.28,46.84,47.88,30.6,59.8,61.12,63.28,34.08,44.72,43.52,48.68,31.92,50.8,40.28,48.16,35.08,45.84,44.84,46.2
33.92,62.32,64.84,64.32,32.64,51.32,47.92,43.92,31.56,49.88,50.24,48.6,32.4,34.6,35.12,31.08,33.92,61.08,63.36,64.32,32.0,51.72,45.32,45.04,32.56,49.68,51.76,49.44,32.44,42.48,42.88,43.28,33.92,62.24,62.6,64.32,32.0,52.44,48.44,51.48,32.0,51.4,47.28,51.72,32.44,47.0,43.48,42.92,33.92,62.24,62.68,64.32,31.56,52.72,49.72,49.84,31.6,50.44,49.52,51.88,32.44,42.88,52.04,47.4,33.92,63.52,62.36,64.32,31.04,48.88,51.32,48.72,33.48,49.68,48.48,50.24,32.72,50.4,46.44,47.6
33.24,64.08,67.56,66.92,30.04,53.48,47.28,47.56,29.96,48.52,47.48,49.12,33.16,40.0,38.24,39.44,33.24,64.68,67.52,66.92,30.2,52.32,51.6,45.64,30.2,50.8,52.88,47.8,33.16,43.6,41.88,46.4,33.24,65.84,66.4,66.92,29.96,50.4,48.08,50.32,29.92,49.96,52.52,48.88,33.16,46.52,45.92,40.48,33.24,65.84,65.12,66.92,29.68,50.68,50.08,52.04,30.2,48.92,49.88,51.44,33.12,44.88,47.88,42.84,33.24,65.52,66.0,66.92,30.24,53.48,51.88,47.52,30.2,53.32,54.44,50.32,33.16,50.92,45.84,44.88
32.2,54.56,57.44,59.2,30.16,44.88,43.76,38.92,30.96,42.28,47.72,40.24,32.52,34.96,33.96,37.0,32.2,54.76,57.36,59.2,31.2,42.68,45.0,35.4,30.68,42.56,45.48,43.2,32.56,35.8,38.36,39.84,32.2,55.08,58.32,59.2,31.12,41.44,44.36,38.68,31.28,45.0,42.24,42.16,32.56,40.4,39.68,40.52,32.2,55.08,57.68,59.2,31.08,48.56,49.64,43.16,31.76,46.48,42.88,44.0,32.56,37.28,42.56,43.96,32.2,60.08,57.96,59.2,30.96,41.8,43.08,40.8,30.92,50.56,44.4,43.08,32.76,43.96,44.76,45.48
30.84,60.24,59.48,60.44,32.12,49.4,47.36,41.92,32.12,48.56,49.24,44.92,33.48,40.88,33.12,31.36,30.84,59.04,59.68,60.44,32.76,48.92,46.56,40.92,32.76,48.24,51.08,42.96,33.48,44.88,43.16,41.16,30.84,60.0,59.96,60.44,32.56,54.04,42.76,44.72,32.6,49.24,45.44,47.12,33.48,46.52,41.12,41.84,30.84,60.0,60.04,60.44,32.68,53.96,49.32,45.8,33.24,47.12,48.6,46.0,33.48,39.64,47.48,39.96,30.84,59.84,59.56,60.44,32.8,46.88,44.92,51.08,32.36,50.16,47.04,44.8,33.8,42.32,46.84,44.2
30.88,65.4,70.96,71.28,32.48,56.32,52.96,52.68,32.0,53.0,50.04,48.24,33.72,39.6,36.32,39.08,30.88,65.84,68.52,71.28,32.64,54.32,50.64,51.04,32.24,50.64,51.96,48.8,33.76,44.16,49.96,42.36,30.88,66.64,68.36,71.28,32.36,53.64,49.92,51.04,32.48,48.64,50.08,50.08,33.76,49.0,47.4,46.88,30.88,66.64,68.12,71.28,32.2,52.96,52.44,44.28,32.36,49.24,46.48,51.76,33.76,52.64,53.24,53.64,30.88,65.68,67.96,71.28,32.72,51.56,47.4,49.36,31.68,52.48,51.64,47.88,34.0,52.56,48.0,48.04
30.84,61.4,60.56,62.56,32.44,49.8,44.76,47.16,32.52,50.72,47.84,50.04,32.4,37.84,35.92,34.64,30.84,61.96,59.96,62.56,32.44,49.16,49.32,49.52,33.36,45.44,49.36,44.8,32.44,39.48,39.6,40.36,30.84,62.08,59.68,62.56,32.28,46.32,46.08,48.2,33.32,46.76,47.92,45.16,32.44,43.12,45.0,44.32,30.84,62.08,59.84,62.56,31.96,47.0,46.32,46.32,32.96,46.28,48.6,47.96,32.44,39.44,46.92,45.72,30.84,61.08,59.36,62.56,33.08,44.0,40.88,47.88,32.56,47.44,46.36,47.52,32.6,45.48,42.2,47.4
32.28,57.8,61.6,64.68,31.12,47.52,44.04,47.8,31.8,43.48,45.08,50.24,33.08,35.96,33.92,32.96,32.28,57.24,61.48,64.68,31.12,48.64,49.56,49.84,31.6,42.04,44.92,42.88,33.08,38.0,41.6,43.4,32.28,57.72,61.44,64.68,30.92,47.12,45.0,45.28,30.76,52.96,46.04,51.88,33.08,41.4,42.2,44.12,32.28,57.72,59.92,64.68,30.88,47.84,47.8,46.32,30.72,48.12,48.44,46.84,33.08,42.64,45.92,48.16,32.28,59.0,61.4,64.68,31.48,46.6,49.68,46.24,31.56,50.12,51.44,49.16,33.36,45.36,45.96,50.28
30.24,61.92,62.24,63.08,32.8,47.04,51.0,51.48,32.88,49.6,50.08,50.4,33.2,32.08,33.56,34.76,30.24,61.92,61.16,63.08,32.8,52.28,45.64,49.56,31.28,47.84,48.88,47.36,33.2,38.36,44.0,39.2,30.24,61.96,60.64,63.08,31.44,48.92,43.56,45.64,32.12,48.4,46.96,50.68,33.2,40.88,44.0,43.16,30.24,61.96,60.68,63.08,31.48,46.52,50.84,49.2,32.8,46.92,51.76,54.48,33.2,41.24,47.96,44.84,30.24,62.0,60.4,63.08,33.2,48.56,44.0,50.6,32.48,47.8,47.52,49.92,33.4,44.0,42.64,46.84
29.0,56.56,59.88,59.28,30.8,44.12,38.24,42.24,30.36,47.2,40.28,36.32,34.08,37.72,33.56,31.04,29.0,56.68,58.96,59.28,30.72,43.32,39.88,37.2,30.6,45.12,44.84,40.92,34.08,37.56,38.36,36.32,29.0,56.12,58.64,59.28,30.4,46.92,41.76,39.76,30.08,41.4,39.08,38.92,33.84,44.08,43.2,35.44,29.0,56.12,60.24,59.28,30.24,46.88,40.72,45.48,29.92,43.6,44.84,41.24,33.84,44.4,42.28,38.64,29.0,56.84,59.96,59.28,30.68,45.72,39.08,41.92,32.96,40.96,37.76,44.28,34.32,44.2,41.56,41.68
28.28,54.24,58.44,57.64,33.72,44.36,43.96,45.36,34.88,45.28,48.56,42.2,32.6,38.52,37.64,31.92,28.28,55.24,58.44,57.64,33.52,48.56,45.8,44.84,33.72,43.4,47.8,43.76,32.64,43.08,42.32,40.48,28.28,56.12,57.6,57.64,34.04,48.76,46.12,44.44,33.32,46.64,41.92,43.68,32.4,42.4,41.44,39.44,28.28,56.12,58.04,57.64,34.2,45.68,45.6,43.24,32.64,44.8,49.56,42.44,32.4,43.88,46.32,42.96,28.28,57.44,57.88,57.64,34.04,42.76,46.44,43.64,34.8,47.96,43.4,44.56,33.0,46.8,43.92,45.04
33.12,53.88,56.4,57.04,33.24,47.88,47.56,46.4,32.48,48.2,52.84,43.44,32.76,33.4,33.48,30.08,33.12,53.88,55.72,57.04,33.48,48.8,47.52,42.56,32.4,47.32,50.8,44.72,32.72,34.8,39.32,39.44,33.12,54.16,56.44,57.04,31.92,47.72,48.6,39.68,31.4,49.56,42.8,45.64,32.72,40.0,35.12,39.32,33.12,54.16,56.36,57.04,31.08,45.72,49.08,49.36,31.24,45.44,46.92,43.04,32.72,38.48,46.8,40.96,33.12,55.6,56.28,57.04,31.0,47.28,49.36,44.64,30.72,46.48,51.28,50.52,33.0,42.04,44.04,40.68
29.8,62.76,63.64,65.88,30.08,48.04,46.48,42.76,28.92,46.16,44.88,45.64,33.2,38.4,36.48,30.88,29.8,64.12,62.64,65.88,29.6,44.84,48.28,46.88,28.84,47.24,47.2,45.96,33.2,41.88,42.44,39.28,29.8,65.0,62.32,65.88,29.6,47.4,40.44,41.84,28.72,47.24,46.8,42.68,33.2,47.08,40.56,45.68,29.8,65.0,62.16,65.88,30.2,50.0,49.68,46.0,28.56,45.92,44.32,42.2,33.2,46.4,44.68,40.28,29.8,65.2,62.0,65.88,30.44,41.08,45.52,43.72,29.76,47.92,43.92,41.88,33.44,50.32,45.16,45.56
31.24,65.28,64.12,66.52,32.72,53.68,50.36,48.44,32.0,55.88,53.48,51.96,33.76,43.28,41.4,35.52,31.24,64.88,64.92,66.52,32.52,54.4,50.08,43.04,31.88,46.28,47.52,50.4,33.8,44.72,42.6,38.52,31.24,65.52,65.16,66.52,31.84,49.4,58.52,49.96,31.56,53.48,49.88,42.64,33.8,51.04,47.92,45.44,31.24,65.52,64.8,66.52,31.64,50.72,53.84,44.92,31.56,52.24,53.36,46.08,33.8,44.16,56.96,41.28,31.24,66.12,65.32,66.52,31.12,50.32,53.88,44.64,32.52,52.88,52.96,51.56,34.04,53.6,50.68,44.4
35.84,61.56,63.32,65.92,33.68,51.76,44.72,52.96,33.16,52.48,50.44,52.16,33.12,37.24,39.28,39.4,35.84,59.6,60.6,65.92,33.28,52.52,47.96,51.04,33.88,47.72,46.56,48.16,33.12,40.0,44.24,41.04,35.84,61.32,61.2,65.92,33.64,49.32,55.72,46.6,33.88,52.96,49.0,47.8,33.12,47.08,43.16,39.08,35.84,61.32,63.2,65.92,34.12,50.4,53.12,52.08,33.8,49.24,50.72,52.08,33.12,44.44,50.36,45.04,35.84,61.52,62.88,65.92,33.56,50.64,56.04,54.32,36.32,49.4,51.88,55.84,33.36,50.96,49.36,50.48
30.0,67.08,67.32,66.0,33.44,40.64,43.76,43.84,33.0,43.88,49.2,44.04,33.4,38.72,34.64,31.32,30.0,66.72,68.32,66.0,33.72,45.52,43.16,40.52,33.84,38.8,43.24,41.36,33.4,39.36,39.72,42.36,30.0,66.2,68.16,66.0,34.96,42.44,43.4,43.64,34.32,48.08,41.36,42.12,33.4,43.48,44.64,42.76,30.0,66.2,66.0,66.0,36.2,43.48,45.6,48.08,36.16,47.36,46.0,47.44,33.4,44.32,52.84,40.56,30.0,65.72,67.84,66.0,34.56,42.32,45.64,45.0,35.8,39.72,41.44,45.88,33.44,45.28,45.52,47.32
28.96,66.04,66.76,69.08,31.6,48.16,48.4,44.44,34.16,49.12,46.12,43.56,33.8,38.44,35.4,32.52,28.96,64.8,66.64,69.08,33.16,50.44,43.68,43.68,34.04,42.24,49.0,48.72,33.8,43.24,44.0,42.72,28.96,66.32,66.24,69.08,33.6,46.88,46.12,46.44,33.88,48.36,47.92,49.76,33.8,41.88,42.04,43.48,28.96,66.32,68.04,69.08,33.44,44.12,44.36,52.28,33.8,44.4,46.48,48.44,33.8,46.44,46.4,44.48,28.96,67.0,67.76,69.08,33.96,41.4,50.36,44.88,34.36,43.88,50.96,42.52,34.0,50.76,41.96,47.8
30.96,62.32,63.24,62.8,31.8,45.24,43.76,42.32,31.36,48.56,47.84,41.76,33.0,35.44,34.04,29.56,30.96,62.92,61.96,62.8,31.72,45.56,43.2,44.68,32.44,42.72,43.36,38.6,32.92,40.2,39.6,35.92,30.96,62.44,62.56,62.8,32.48,49.28,37.6,40.08,32.68,48.08,42.84,34.88,32.92,41.2,44.84,37.76,30.96,62.44,62.68,62.8,32.48,48.2,46.44,46.8,32.32,50.84,43.48,42.32,32.92,42.0,44.96,42.16,30.96,61.6,63.28,62.8,31.64,51.32,43.76,37.56,34.6,50.12,44.6,45.76,33.2,47.92,37.92,45.4
29.0,59.16,61.56,62.8,30.04,48.72,47.44,47.6,30.64,48.04,50.04,44.56,33.36,37.52,33.28,34.52,29.0,58.28,61.04,62.8,29.52,49.28,46.56,45.52,30.6,47.88,51.32,44.6,33.32,40.76,42.72,37.16,29.0,58.28,60.64,62.8,29.84,52.8,48.12,44.84,30.68,53.96,50.4,45.28,33.32,40.2,38.2,35.16,29.0,58.28,61.68,62.8,30.84,51.52,49.48,52.96,30.2,51.76,43.4,45.64,33.32,44.76,45.12,38.96,29.0,60.2,61.48,62.8,29.52,50.0,51.0,41.88,31.48,51.84,50.36,43.64,33.4,46.32,45.52,44.92
33.8,65.68,67.16,68.4,30.64,52.56,50.72,51.56,30.52,50.48,52.76,53.6,33.88,42.16,37.6,39.12,33.8,66.6,68.48,68.4,30.44,47.6,49.68,52.56,30.16,53.88,52.56,49.88,33.88,51.08,46.24,44.8,33.8,65.88,68.44,68.4,29.96,51.92,51.16,47.2,30.52,52.4,52.12,51.32,33.88,47.96,48.76,41.4,33.8,65.88,68.08,68.4,29.76,50.64,52.8,54.84,30.24,52.8,44.96,49.08,33.88,52.6,53.72,53.24,33.8,66.48,68.48,68.4,30.0,52.0,53.8,51.16,30.12,51.72,54.32,49.8,34.04,55.24,51.84,52.72
