,mean,Standard deviation
"('greedy_selection', 'moment_updating', 0.01, 1.01, 0.25, 1)",164.0,0.0
"('myopic_vpi_selection', 'moment_updating', 0.01, 1.01, 0.25, 1)",160.0,0.0
