0.6,0.75,0.9
0.3382,0.3328,0.329
0.3278,0.3766,0.2956
0.3698,0.303,0.3272
0.304,0.3664,0.3296
0.3087,0.3347,0.3566
0.2731,0.363,0.3639
0.2707,0.3484,0.3809
0.2506,0.3574,0.392
0.2455,0.356,0.3985
0.2383,0.3558,0.4059
0.2218,0.3633,0.4149
0.2242,0.3577,0.4181
0.2146,0.3618,0.4236
0.216,0.3585,0.4255
0.2127,0.3648,0.4225
0.2074,0.3593,0.4333
0.2059,0.3601,0.434
0.2009,0.3647,0.4344
0.1979,0.3621,0.44
0.1999,0.3557,0.4444
0.1933,0.3655,0.4412
0.1929,0.3586,0.4485
0.1924,0.3576,0.45
0.1893,0.3565,0.4542
0.1914,0.3581,0.4505
0.1865,0.3596,0.4539
0.1877,0.3561,0.4562
0.188,0.3616,0.4504
0.1813,0.3605,0.4582
0.1839,0.3564,0.4597
0.179,0.3593,0.4617
0.1824,0.3589,0.4587
0.1799,0.3642,0.4559
0.1783,0.3657,0.456
0.1822,0.3567,0.4611
0.1758,0.3625,0.4617
0.1741,0.36,0.4659
0.172,0.3649,0.4631
0.1683,0.3684,0.4633
0.1682,0.3629,0.4689
0.1701,0.3612,0.4687
0.1697,0.3627,0.4676
0.1682,0.3625,0.4693
0.168,0.3644,0.4676
0.1689,0.3637,0.4674
0.1671,0.3642,0.4687
0.1661,0.3659,0.468
0.1658,0.3694,0.4648
0.1618,0.3666,0.4716
0.1638,0.3676,0.4686
0.162,0.3627,0.4753
0.1612,0.368,0.4708
0.1603,0.3674,0.4723
0.1637,0.3647,0.4716
0.159,0.3685,0.4725
0.1596,0.362,0.4784
0.1595,0.3737,0.4668
0.1624,0.3643,0.4733
0.159,0.3639,0.4771
0.1623,0.3668,0.4709
0.1561,0.3704,0.4735
0.1562,0.3717,0.4721
0.1567,0.369,0.4743
0.1575,0.3677,0.4748
0.158,0.3668,0.4752
0.1588,0.368,0.4732
0.1483,0.3685,0.4832
0.1566,0.3612,0.4822
0.1543,0.3703,0.4754
0.1562,0.3631,0.4807
0.1529,0.3678,0.4793
0.1525,0.366,0.4815
0.1546,0.3656,0.4798
0.1544,0.3681,0.4775
0.1485,0.3687,0.4828
0.1541,0.3708,0.4751
0.1526,0.3681,0.4793
0.1491,0.3684,0.4825
0.1504,0.3693,0.4803
0.1495,0.3676,0.4829
0.1505,0.3675,0.482
0.1511,0.3671,0.4818
0.152,0.3643,0.4837
0.1494,0.367,0.4836
0.1492,0.3715,0.4793
0.1493,0.3685,0.4822
0.1491,0.3705,0.4804
0.1454,0.3706,0.484
0.1493,0.37,0.4807
0.1497,0.3732,0.4771
0.1492,0.3682,0.4826
0.1479,0.3698,0.4823
0.1498,0.3692,0.481
0.1486,0.3693,0.4821
0.1488,0.3665,0.4847
0.1495,0.37,0.4805
0.1465,0.3667,0.4868
0.1469,0.3731,0.48
0.1434,0.3745,0.4821
0.1455,0.368,0.4865
0.1443,0.369,0.4867
0.148,0.3671,0.4849
0.1404,0.3791,0.4805
0.1472,0.3713,0.4815
0.1462,0.3757,0.4781
0.1446,0.3709,0.4845
0.1471,0.3694,0.4835
0.143,0.3704,0.4866
0.1448,0.3702,0.485
0.1421,0.3657,0.4922
0.1433,0.3712,0.4855
0.1424,0.3702,0.4874
0.1407,0.3688,0.4905
